"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 31 07:29:56 GMT 2022","Tue May 31 07:30:18 GMT 2022","22742","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Tue May 31 07:41:00 GMT 2022","Tue May 31 07:41:51 GMT 2022","50932","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Tue May 31 07:35:38 GMT 2022","Tue May 31 07:36:19 GMT 2022","40436","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Tue May 31 08:07:03 GMT 2022","Tue May 31 08:08:53 GMT 2022","110726","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Tue May 31 07:52:10 GMT 2022","Tue May 31 07:52:52 GMT 2022","41899","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Tue May 31 07:49:21 GMT 2022","Tue May 31 07:50:02 GMT 2022","41208","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Tue May 31 08:14:14 GMT 2022","Tue May 31 08:15:12 GMT 2022","57778","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Tue May 31 07:33:29 GMT 2022","Tue May 31 07:34:09 GMT 2022","39551","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"passed","Tue May 31 07:47:20 GMT 2022","Tue May 31 07:48:02 GMT 2022","41451","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Tue May 31 07:55:54 GMT 2022","Tue May 31 07:57:43 GMT 2022","108345","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Tue May 31 08:01:32 GMT 2022","Tue May 31 08:02:20 GMT 2022","47308","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
