"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 25 06:05:23 GMT 2022","Mon Apr 25 06:06:32 GMT 2022","68978","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"passed","Mon Apr 25 05:56:37 GMT 2022","Mon Apr 25 05:57:27 GMT 2022","49707","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"passed","Mon Apr 25 06:00:53 GMT 2022","Mon Apr 25 06:01:56 GMT 2022","63133","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Mon Apr 25 05:57:28 GMT 2022","Mon Apr 25 05:58:17 GMT 2022","48927","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Mon Apr 25 06:07:39 GMT 2022","Mon Apr 25 06:08:56 GMT 2022","76835","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Mon Apr 25 06:03:14 GMT 2022","Mon Apr 25 06:05:22 GMT 2022","128181","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Mon Apr 25 06:08:57 GMT 2022","Mon Apr 25 06:10:08 GMT 2022","70362","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Mon Apr 25 05:58:18 GMT 2022","Mon Apr 25 05:59:11 GMT 2022","52238","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Mon Apr 25 05:59:12 GMT 2022","Mon Apr 25 06:00:00 GMT 2022","48676","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Mon Apr 25 06:01:57 GMT 2022","Mon Apr 25 06:03:13 GMT 2022","75271","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Mon Apr 25 06:06:34 GMT 2022","Mon Apr 25 06:07:38 GMT 2022","64076","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Mon Apr 25 06:00:01 GMT 2022","Mon Apr 25 06:00:52 GMT 2022","50472","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
