"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 05:10:28 GMT 2022","Thu Jul 07 05:11:14 GMT 2022","45312","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Thu Jul 07 05:13:57 GMT 2022","Thu Jul 07 05:14:29 GMT 2022","31840","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Thu Jul 07 06:03:05 GMT 2022","Thu Jul 07 06:03:30 GMT 2022","25498","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Thu Jul 07 05:31:07 GMT 2022","Thu Jul 07 05:31:38 GMT 2022","31540","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Jul 07 05:34:03 GMT 2022","Thu Jul 07 05:34:45 GMT 2022","42004","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Thu Jul 07 05:42:19 GMT 2022","Thu Jul 07 05:43:02 GMT 2022","43375","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Thu Jul 07 05:32:10 GMT 2022","Thu Jul 07 05:32:52 GMT 2022","41963","","Complete Test Suite","","Complete Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Thu Jul 07 05:27:52 GMT 2022","Thu Jul 07 05:28:20 GMT 2022","28902","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Thu Jul 07 05:22:44 GMT 2022","Thu Jul 07 05:23:27 GMT 2022","42966","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Thu Jul 07 05:09:29 GMT 2022","Thu Jul 07 05:09:41 GMT 2022","12425","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu Jul 07 05:48:11 GMT 2022","Thu Jul 07 05:48:51 GMT 2022","39607","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Jul 07 05:49:51 GMT 2022","Thu Jul 07 05:50:26 GMT 2022","35182","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Jul 07 05:12:51 GMT 2022","Thu Jul 07 05:13:22 GMT 2022","31713","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Thu Jul 07 05:36:46 GMT 2022","Thu Jul 07 05:37:27 GMT 2022","41195","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu Jul 07 05:14:30 GMT 2022","Thu Jul 07 05:15:05 GMT 2022","34286","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Thu Jul 07 05:19:30 GMT 2022","Thu Jul 07 05:20:07 GMT 2022","37634","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Thu Jul 07 05:48:52 GMT 2022","Thu Jul 07 05:49:50 GMT 2022","57751","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Thu Jul 07 05:10:08 GMT 2022","Thu Jul 07 05:10:27 GMT 2022","19130","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu Jul 07 05:32:53 GMT 2022","Thu Jul 07 05:33:28 GMT 2022","35409","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Thu Jul 07 05:53:51 GMT 2022","Thu Jul 07 05:55:31 GMT 2022","100049","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
