"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 22 15:34:00 GMT 2022","Wed Jun 22 15:34:25 GMT 2022","25360","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Wed Jun 22 15:03:05 GMT 2022","Wed Jun 22 15:03:33 GMT 2022","28080","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"broken","Wed Jun 22 15:35:49 GMT 2022","Wed Jun 22 15:36:15 GMT 2022","25921","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Jun 22 15:01:02 GMT 2022","Wed Jun 22 15:02:06 GMT 2022","63700","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Jun 22 15:28:04 GMT 2022","Wed Jun 22 15:28:35 GMT 2022","31253","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Wed Jun 22 15:24:37 GMT 2022","Wed Jun 22 15:25:04 GMT 2022","27122","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Wed Jun 22 15:07:38 GMT 2022","Wed Jun 22 15:08:09 GMT 2022","31102","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Wed Jun 22 15:21:36 GMT 2022","Wed Jun 22 15:22:04 GMT 2022","28058","","Complete Test Suite","","Complete Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Jun 22 15:30:32 GMT 2022","Wed Jun 22 15:31:05 GMT 2022","33277","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Wed Jun 22 15:24:07 GMT 2022","Wed Jun 22 15:24:36 GMT 2022","28932","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Wed Jun 22 15:15:34 GMT 2022","Wed Jun 22 15:16:24 GMT 2022","50179","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Wed Jun 22 15:29:10 GMT 2022","Wed Jun 22 15:29:36 GMT 2022","25864","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Jun 22 15:19:50 GMT 2022","Wed Jun 22 15:20:17 GMT 2022","27519","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Jun 22 15:19:20 GMT 2022","Wed Jun 22 15:19:48 GMT 2022","28548","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"failed","Wed Jun 22 15:25:05 GMT 2022","Wed Jun 22 15:25:37 GMT 2022","31385","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Jun 22 15:09:14 GMT 2022","Wed Jun 22 15:09:50 GMT 2022","35219","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Wed Jun 22 15:11:46 GMT 2022","Wed Jun 22 15:12:25 GMT 2022","39106","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Wed Jun 22 15:35:21 GMT 2022","Wed Jun 22 15:35:48 GMT 2022","26691","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Wed Jun 22 15:32:43 GMT 2022","Wed Jun 22 15:33:32 GMT 2022","49099","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Jun 22 15:15:05 GMT 2022","Wed Jun 22 15:15:32 GMT 2022","27369","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Jun 22 15:05:04 GMT 2022","Wed Jun 22 15:05:31 GMT 2022","27651","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Jun 22 15:08:11 GMT 2022","Wed Jun 22 15:08:41 GMT 2022","30200","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Wed Jun 22 15:22:47 GMT 2022","Wed Jun 22 15:23:16 GMT 2022","29253","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Wed Jun 22 15:07:06 GMT 2022","Wed Jun 22 15:07:37 GMT 2022","30541","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Wed Jun 22 15:14:17 GMT 2022","Wed Jun 22 15:15:04 GMT 2022","46474","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Wed Jun 22 15:08:42 GMT 2022","Wed Jun 22 15:09:13 GMT 2022","31158","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Wed Jun 22 15:30:05 GMT 2022","Wed Jun 22 15:30:31 GMT 2022","26480","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Wed Jun 22 15:04:36 GMT 2022","Wed Jun 22 15:05:02 GMT 2022","26245","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Jun 22 15:13:22 GMT 2022","Wed Jun 22 15:14:16 GMT 2022","54446","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Wed Jun 22 15:18:49 GMT 2022","Wed Jun 22 15:19:18 GMT 2022","29424","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"failed","Wed Jun 22 15:27:28 GMT 2022","Wed Jun 22 15:28:03 GMT 2022","34816","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Wed Jun 22 15:05:33 GMT 2022","Wed Jun 22 15:06:05 GMT 2022","32309","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Wed Jun 22 15:32:01 GMT 2022","Wed Jun 22 15:32:41 GMT 2022","39979","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Wed Jun 22 15:37:32 GMT 2022","Wed Jun 22 15:37:56 GMT 2022","24399","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Wed Jun 22 15:06:37 GMT 2022","Wed Jun 22 15:07:05 GMT 2022","27414","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Wed Jun 22 15:12:27 GMT 2022","Wed Jun 22 15:13:20 GMT 2022","53678","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"broken","Wed Jun 22 15:34:53 GMT 2022","Wed Jun 22 15:35:20 GMT 2022","26654","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Wed Jun 22 15:18:20 GMT 2022","Wed Jun 22 15:18:48 GMT 2022","28154","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Wed Jun 22 15:02:35 GMT 2022","Wed Jun 22 15:03:04 GMT 2022","28949","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Wed Jun 22 15:33:33 GMT 2022","Wed Jun 22 15:33:59 GMT 2022","26136","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Wed Jun 22 15:20:18 GMT 2022","Wed Jun 22 15:21:00 GMT 2022","41257","","Complete Test Suite","","Complete Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
