"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 12 14:57:07 GMT 2022","Sun Jun 12 14:57:30 GMT 2022","22329","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"failed","Sun Jun 12 15:04:40 GMT 2022","Sun Jun 12 15:05:09 GMT 2022","29445","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Sun Jun 12 15:12:20 GMT 2022","Sun Jun 12 15:12:44 GMT 2022","23884","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Sun Jun 12 15:10:45 GMT 2022","Sun Jun 12 15:11:19 GMT 2022","33930","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sun Jun 12 15:11:20 GMT 2022","Sun Jun 12 15:11:55 GMT 2022","34976","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sun Jun 12 14:55:24 GMT 2022","Sun Jun 12 14:56:03 GMT 2022","38973","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Sun Jun 12 15:12:45 GMT 2022","Sun Jun 12 15:13:08 GMT 2022","22949","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sun Jun 12 14:58:24 GMT 2022","Sun Jun 12 14:58:51 GMT 2022","27730","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Sun Jun 12 15:09:55 GMT 2022","Sun Jun 12 15:10:44 GMT 2022","48402","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Sun Jun 12 14:57:57 GMT 2022","Sun Jun 12 14:58:23 GMT 2022","26074","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Sun Jun 12 15:03:16 GMT 2022","Sun Jun 12 15:03:45 GMT 2022","29863","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sun Jun 12 15:07:12 GMT 2022","Sun Jun 12 15:07:40 GMT 2022","28166","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Sun Jun 12 15:15:32 GMT 2022","Sun Jun 12 15:15:55 GMT 2022","22894","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"failed","Sun Jun 12 15:06:42 GMT 2022","Sun Jun 12 15:07:11 GMT 2022","29194","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"failed","Sun Jun 12 15:05:10 GMT 2022","Sun Jun 12 15:05:40 GMT 2022","29411","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Sun Jun 12 15:13:33 GMT 2022","Sun Jun 12 15:13:56 GMT 2022","23474","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Sun Jun 12 15:08:59 GMT 2022","Sun Jun 12 15:09:23 GMT 2022","23945","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Sun Jun 12 14:57:31 GMT 2022","Sun Jun 12 14:57:55 GMT 2022","24785","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Sun Jun 12 15:04:14 GMT 2022","Sun Jun 12 15:04:39 GMT 2022","24812","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sun Jun 12 15:00:37 GMT 2022","Sun Jun 12 15:01:03 GMT 2022","26433","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Sun Jun 12 15:01:30 GMT 2022","Sun Jun 12 15:02:00 GMT 2022","29833","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Sun Jun 12 15:11:56 GMT 2022","Sun Jun 12 15:12:19 GMT 2022","23491","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Sun Jun 12 15:13:09 GMT 2022","Sun Jun 12 15:13:32 GMT 2022","23195","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"failed","Sun Jun 12 15:05:41 GMT 2022","Sun Jun 12 15:06:10 GMT 2022","29300","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Sun Jun 12 15:08:34 GMT 2022","Sun Jun 12 15:08:58 GMT 2022","23786","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Sun Jun 12 15:14:22 GMT 2022","Sun Jun 12 15:14:56 GMT 2022","33774","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sun Jun 12 15:01:04 GMT 2022","Sun Jun 12 15:01:29 GMT 2022","24414","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Sun Jun 12 14:58:52 GMT 2022","Sun Jun 12 14:59:16 GMT 2022","24018","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Sun Jun 12 14:54:42 GMT 2022","Sun Jun 12 14:55:04 GMT 2022","21614","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sun Jun 12 14:55:05 GMT 2022","Sun Jun 12 14:55:23 GMT 2022","18237","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Jun 12 15:02:26 GMT 2022","Sun Jun 12 15:02:50 GMT 2022","24531","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sun Jun 12 14:59:18 GMT 2022","Sun Jun 12 14:59:42 GMT 2022","24438","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Sun Jun 12 15:08:09 GMT 2022","Sun Jun 12 15:08:33 GMT 2022","23889","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Sun Jun 12 15:02:01 GMT 2022","Sun Jun 12 15:02:25 GMT 2022","23833","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
