"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 14:56:23 GMT 2022","Sun Jul 17 14:56:50 GMT 2022","27226","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Sun Jul 17 15:19:28 GMT 2022","Sun Jul 17 15:19:55 GMT 2022","26979","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Sun Jul 17 15:11:37 GMT 2022","Sun Jul 17 15:12:01 GMT 2022","24181","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sun Jul 17 15:18:26 GMT 2022","Sun Jul 17 15:18:57 GMT 2022","31898","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Sun Jul 17 14:52:47 GMT 2022","Sun Jul 17 14:52:58 GMT 2022","11884","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sun Jul 17 14:54:24 GMT 2022","Sun Jul 17 14:55:26 GMT 2022","62525","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Sun Jul 17 15:06:36 GMT 2022","Sun Jul 17 15:07:20 GMT 2022","44486","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Sun Jul 17 14:57:47 GMT 2022","Sun Jul 17 14:58:11 GMT 2022","24510","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Sun Jul 17 14:56:52 GMT 2022","Sun Jul 17 14:57:17 GMT 2022","24993","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Sun Jul 17 14:53:22 GMT 2022","Sun Jul 17 14:53:42 GMT 2022","19249","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Jul 17 15:16:22 GMT 2022","Sun Jul 17 15:16:52 GMT 2022","29231","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Sun Jul 17 15:17:56 GMT 2022","Sun Jul 17 15:18:24 GMT 2022","28792","","Complete Test Suite","","Complete Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Sun Jul 17 15:17:24 GMT 2022","Sun Jul 17 15:17:55 GMT 2022","30657","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Sun Jul 17 14:58:13 GMT 2022","Sun Jul 17 14:58:39 GMT 2022","25915","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Sun Jul 17 15:16:53 GMT 2022","Sun Jul 17 15:17:23 GMT 2022","30075","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Sun Jul 17 15:25:42 GMT 2022","Sun Jul 17 15:26:12 GMT 2022","29796","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sun Jul 17 15:04:50 GMT 2022","Sun Jul 17 15:05:41 GMT 2022","51498","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Sun Jul 17 15:05:42 GMT 2022","Sun Jul 17 15:06:35 GMT 2022","52153","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Sun Jul 17 15:08:33 GMT 2022","Sun Jul 17 15:08:58 GMT 2022","24439","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Sun Jul 17 15:27:38 GMT 2022","Sun Jul 17 15:29:01 GMT 2022","82382","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Sun Jul 17 15:26:13 GMT 2022","Sun Jul 17 15:27:37 GMT 2022","84046","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sun Jul 17 15:14:16 GMT 2022","Sun Jul 17 15:14:42 GMT 2022","26098","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Sun Jul 17 15:04:13 GMT 2022","Sun Jul 17 15:04:49 GMT 2022","35411","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Sun Jul 17 15:30:26 GMT 2022","Sun Jul 17 15:31:51 GMT 2022","84907","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sun Jul 17 15:21:13 GMT 2022","Sun Jul 17 15:22:36 GMT 2022","82733","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Sun Jul 17 14:55:55 GMT 2022","Sun Jul 17 14:56:22 GMT 2022","26749","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Sun Jul 17 15:15:57 GMT 2022","Sun Jul 17 15:16:21 GMT 2022","24557","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sun Jul 17 15:24:17 GMT 2022","Sun Jul 17 15:24:51 GMT 2022","33948","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sun Jul 17 14:59:10 GMT 2022","Sun Jul 17 14:59:36 GMT 2022","26076","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Sun Jul 17 15:13:37 GMT 2022","Sun Jul 17 15:14:14 GMT 2022","37623","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Sun Jul 17 14:53:43 GMT 2022","Sun Jul 17 14:54:23 GMT 2022","39922","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sun Jul 17 14:55:28 GMT 2022","Sun Jul 17 14:55:54 GMT 2022","26190","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sun Jul 17 15:34:51 GMT 2022","Sun Jul 17 15:36:18 GMT 2022","87659","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sun Jul 17 15:10:45 GMT 2022","Sun Jul 17 15:11:09 GMT 2022","24522","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
