"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 26 15:16:05 GMT 2022","Thu May 26 15:16:52 GMT 2022","47647","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Thu May 26 15:24:11 GMT 2022","Thu May 26 15:24:58 GMT 2022","46850","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Thu May 26 14:59:05 GMT 2022","Thu May 26 14:59:52 GMT 2022","46492","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Thu May 26 15:17:41 GMT 2022","Thu May 26 15:18:28 GMT 2022","47102","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Thu May 26 15:05:35 GMT 2022","Thu May 26 15:06:22 GMT 2022","47624","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Thu May 26 15:18:30 GMT 2022","Thu May 26 15:19:17 GMT 2022","47458","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu May 26 14:52:19 GMT 2022","Thu May 26 14:52:48 GMT 2022","29350","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu May 26 14:53:46 GMT 2022","Thu May 26 14:55:02 GMT 2022","75545","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Thu May 26 15:07:13 GMT 2022","Thu May 26 15:08:00 GMT 2022","47136","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Thu May 26 15:03:56 GMT 2022","Thu May 26 15:04:44 GMT 2022","48094","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Thu May 26 14:52:50 GMT 2022","Thu May 26 14:53:45 GMT 2022","54954","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Thu May 26 15:03:07 GMT 2022","Thu May 26 15:03:54 GMT 2022","47568","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Thu May 26 15:11:14 GMT 2022","Thu May 26 15:12:01 GMT 2022","46499","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Thu May 26 15:24:59 GMT 2022","Thu May 26 15:25:47 GMT 2022","47693","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Thu May 26 15:09:37 GMT 2022","Thu May 26 15:10:25 GMT 2022","47138","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Thu May 26 15:13:40 GMT 2022","Thu May 26 15:14:26 GMT 2022","46526","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Thu May 26 15:14:27 GMT 2022","Thu May 26 15:15:15 GMT 2022","47190","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Thu May 26 14:51:20 GMT 2022","Thu May 26 14:51:43 GMT 2022","22949","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Thu May 26 15:12:51 GMT 2022","Thu May 26 15:13:38 GMT 2022","47626","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Thu May 26 15:19:18 GMT 2022","Thu May 26 15:20:06 GMT 2022","47304","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Thu May 26 15:23:22 GMT 2022","Thu May 26 15:24:10 GMT 2022","47305","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Thu May 26 14:56:40 GMT 2022","Thu May 26 14:57:27 GMT 2022","46458","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"broken","Thu May 26 15:26:36 GMT 2022","Thu May 26 15:27:23 GMT 2022","47320","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"broken","Thu May 26 15:10:26 GMT 2022","Thu May 26 15:11:13 GMT 2022","47084","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Thu May 26 15:04:45 GMT 2022","Thu May 26 15:05:33 GMT 2022","48077","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Thu May 26 15:02:18 GMT 2022","Thu May 26 15:03:05 GMT 2022","46984","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Thu May 26 14:55:03 GMT 2022","Thu May 26 14:55:50 GMT 2022","47191","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"broken","Thu May 26 15:28:14 GMT 2022","Thu May 26 15:29:01 GMT 2022","47303","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"broken","Thu May 26 15:22:34 GMT 2022","Thu May 26 15:23:21 GMT 2022","47261","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Thu May 26 15:06:24 GMT 2022","Thu May 26 15:07:11 GMT 2022","47830","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Thu May 26 15:08:49 GMT 2022","Thu May 26 15:09:36 GMT 2022","47345","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Thu May 26 15:21:43 GMT 2022","Thu May 26 15:22:32 GMT 2022","48863","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Thu May 26 15:29:02 GMT 2022","Thu May 26 15:29:38 GMT 2022","35633","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Thu May 26 15:20:55 GMT 2022","Thu May 26 15:21:42 GMT 2022","46844","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Thu May 26 14:57:28 GMT 2022","Thu May 26 14:58:16 GMT 2022","48277","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Thu May 26 15:16:53 GMT 2022","Thu May 26 15:17:40 GMT 2022","46356","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Thu May 26 14:59:53 GMT 2022","Thu May 26 15:00:40 GMT 2022","47538","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"broken","Thu May 26 15:01:30 GMT 2022","Thu May 26 15:02:17 GMT 2022","47376","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"broken","Thu May 26 15:12:02 GMT 2022","Thu May 26 15:12:49 GMT 2022","47214","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Thu May 26 15:15:16 GMT 2022","Thu May 26 15:16:03 GMT 2022","47333","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"broken","Thu May 26 15:25:48 GMT 2022","Thu May 26 15:26:35 GMT 2022","46672","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
