"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 11 14:55:15 GMT 2023","Thu May 11 14:55:56 GMT 2023","41419","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Thu May 11 15:05:30 GMT 2023","Thu May 11 15:06:04 GMT 2023","34114","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Thu May 11 14:54:17 GMT 2023","Thu May 11 14:55:13 GMT 2023","56866","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Thu May 11 15:43:27 GMT 2023","Thu May 11 15:43:53 GMT 2023","26107","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu May 11 14:50:37 GMT 2023","Thu May 11 14:51:08 GMT 2023","31103","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Thu May 11 15:16:27 GMT 2023","Thu May 11 15:18:00 GMT 2023","92546","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Thu May 11 15:23:23 GMT 2023","Thu May 11 15:24:04 GMT 2023","41596","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu May 11 15:02:19 GMT 2023","Thu May 11 15:02:48 GMT 2023","28875","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu May 11 14:58:37 GMT 2023","Thu May 11 14:59:04 GMT 2023","27413","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Thu May 11 15:30:54 GMT 2023","Thu May 11 15:32:38 GMT 2023","103158","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Thu May 11 14:53:27 GMT 2023","Thu May 11 14:54:15 GMT 2023","47929","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu May 11 14:49:07 GMT 2023","Thu May 11 14:49:37 GMT 2023","29705","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Thu May 11 15:40:33 GMT 2023","Thu May 11 15:42:10 GMT 2023","96789","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu May 11 15:34:33 GMT 2023","Thu May 11 15:36:29 GMT 2023","116285","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Thu May 11 15:19:53 GMT 2023","Thu May 11 15:21:27 GMT 2023","93594","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Thu May 11 15:08:32 GMT 2023","Thu May 11 15:09:28 GMT 2023","55964","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Thu May 11 14:43:37 GMT 2023","Thu May 11 14:43:56 GMT 2023","18602","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
