"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 24 04:32:36 GMT 2022","Tue May 24 04:33:17 GMT 2022","41078","","Complete Test Suite","","Complete Test Suite","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Tue May 24 04:38:05 GMT 2022","Tue May 24 04:39:10 GMT 2022","64401","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Tue May 24 04:45:28 GMT 2022","Tue May 24 04:46:17 GMT 2022","48807","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Tue May 24 04:46:18 GMT 2022","Tue May 24 04:46:58 GMT 2022","40103","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Tue May 24 04:40:45 GMT 2022","Tue May 24 04:41:42 GMT 2022","57162","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Tue May 24 04:31:54 GMT 2022","Tue May 24 04:32:34 GMT 2022","40217","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Tue May 24 04:31:10 GMT 2022","Tue May 24 04:31:53 GMT 2022","42906","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Tue May 24 04:37:13 GMT 2022","Tue May 24 04:38:04 GMT 2022","51061","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Tue May 24 04:47:43 GMT 2022","Tue May 24 04:48:23 GMT 2022","39920","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Tue May 24 04:42:20 GMT 2022","Tue May 24 04:42:56 GMT 2022","36187","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
