"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 15 14:53:46 GMT 2023","Tue Aug 15 14:54:40 GMT 2023","54498","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Tue Aug 15 14:58:12 GMT 2023","Tue Aug 15 14:59:11 GMT 2023","58771","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Tue Aug 15 14:50:00 GMT 2023","Tue Aug 15 14:50:58 GMT 2023","57935","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Tue Aug 15 14:52:49 GMT 2023","Tue Aug 15 14:53:45 GMT 2023","55247","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Tue Aug 15 14:54:41 GMT 2023","Tue Aug 15 14:58:11 GMT 2023","209628","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Tue Aug 15 14:59:12 GMT 2023","Tue Aug 15 15:00:02 GMT 2023","49930","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Tue Aug 15 15:08:49 GMT 2023","Tue Aug 15 15:10:34 GMT 2023","104840","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Tue Aug 15 15:00:03 GMT 2023","Tue Aug 15 15:00:56 GMT 2023","52726","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Tue Aug 15 15:05:27 GMT 2023","Tue Aug 15 15:06:13 GMT 2023","45776","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Tue Aug 15 15:03:43 GMT 2023","Tue Aug 15 15:05:26 GMT 2023","102490","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"broken","Tue Aug 15 14:47:43 GMT 2023","Tue Aug 15 14:49:06 GMT 2023","82520","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Tue Aug 15 15:10:35 GMT 2023","Tue Aug 15 15:11:21 GMT 2023","46584","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
