"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 15:07:48 GMT 2023","Fri Apr 28 15:08:14 GMT 2023","26269","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Apr 28 14:51:16 GMT 2023","Fri Apr 28 14:51:46 GMT 2023","29544","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Apr 28 15:04:18 GMT 2023","Fri Apr 28 15:04:46 GMT 2023","27622","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Fri Apr 28 14:47:48 GMT 2023","Fri Apr 28 14:48:15 GMT 2023","27434","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Apr 28 15:40:01 GMT 2023","Fri Apr 28 15:40:30 GMT 2023","29658","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Fri Apr 28 14:45:37 GMT 2023","Fri Apr 28 14:46:16 GMT 2023","39625","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Apr 28 15:08:16 GMT 2023","Fri Apr 28 15:08:55 GMT 2023","39794","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Fri Apr 28 15:19:33 GMT 2023","Fri Apr 28 15:20:57 GMT 2023","83982","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Fri Apr 28 15:09:28 GMT 2023","Fri Apr 28 15:10:14 GMT 2023","46416","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Fri Apr 28 14:53:18 GMT 2023","Fri Apr 28 14:53:51 GMT 2023","33306","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Fri Apr 28 15:15:01 GMT 2023","Fri Apr 28 15:16:23 GMT 2023","82586","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Fri Apr 28 15:31:12 GMT 2023","Fri Apr 28 15:32:52 GMT 2023","99895","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Fri Apr 28 15:28:13 GMT 2023","Fri Apr 28 15:29:40 GMT 2023","87166","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Fri Apr 28 15:27:44 GMT 2023","Fri Apr 28 15:28:11 GMT 2023","27322","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Apr 28 15:29:41 GMT 2023","Fri Apr 28 15:31:11 GMT 2023","89873","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Fri Apr 28 14:48:45 GMT 2023","Fri Apr 28 14:49:15 GMT 2023","29142","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Fri Apr 28 14:44:25 GMT 2023","Fri Apr 28 14:44:49 GMT 2023","23228","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Fri Apr 28 14:55:48 GMT 2023","Fri Apr 28 14:56:47 GMT 2023","58415","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Apr 28 15:24:47 GMT 2023","Fri Apr 28 15:25:38 GMT 2023","51255","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Apr 28 15:41:21 GMT 2023","Fri Apr 28 15:41:45 GMT 2023","24071","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Fri Apr 28 15:02:25 GMT 2023","Fri Apr 28 15:03:20 GMT 2023","55504","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Fri Apr 28 15:08:57 GMT 2023","Fri Apr 28 15:09:27 GMT 2023","30045","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Fri Apr 28 15:14:31 GMT 2023","Fri Apr 28 15:14:59 GMT 2023","28357","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Fri Apr 28 14:44:50 GMT 2023","Fri Apr 28 14:45:12 GMT 2023","22465","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Fri Apr 28 14:50:44 GMT 2023","Fri Apr 28 14:51:15 GMT 2023","30924","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Fri Apr 28 14:48:16 GMT 2023","Fri Apr 28 14:48:44 GMT 2023","27913","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Apr 28 15:11:46 GMT 2023","Fri Apr 28 15:12:21 GMT 2023","35396","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Fri Apr 28 15:03:51 GMT 2023","Fri Apr 28 15:04:17 GMT 2023","26662","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Fri Apr 28 14:55:00 GMT 2023","Fri Apr 28 14:55:47 GMT 2023","46943","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Fri Apr 28 15:07:17 GMT 2023","Fri Apr 28 15:07:47 GMT 2023","30296","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Apr 28 15:11:13 GMT 2023","Fri Apr 28 15:11:45 GMT 2023","31878","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Fri Apr 28 14:53:52 GMT 2023","Fri Apr 28 14:54:23 GMT 2023","30296","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Apr 28 15:36:20 GMT 2023","Fri Apr 28 15:38:23 GMT 2023","123601","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Fri Apr 28 15:06:39 GMT 2023","Fri Apr 28 15:07:16 GMT 2023","36789","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Fri Apr 28 15:16:24 GMT 2023","Fri Apr 28 15:17:51 GMT 2023","86283","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Fri Apr 28 14:50:17 GMT 2023","Fri Apr 28 14:50:43 GMT 2023","26667","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Apr 28 15:38:25 GMT 2023","Fri Apr 28 15:40:00 GMT 2023","94997","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Fri Apr 28 15:32:54 GMT 2023","Fri Apr 28 15:34:30 GMT 2023","96749","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri Apr 28 15:04:47 GMT 2023","Fri Apr 28 15:05:12 GMT 2023","25104","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Fri Apr 28 15:22:41 GMT 2023","Fri Apr 28 15:23:18 GMT 2023","37608","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Fri Apr 28 15:25:40 GMT 2023","Fri Apr 28 15:26:11 GMT 2023","31447","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Fri Apr 28 15:20:58 GMT 2023","Fri Apr 28 15:22:40 GMT 2023","101830","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Fri Apr 28 15:10:15 GMT 2023","Fri Apr 28 15:10:44 GMT 2023","28661","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Fri Apr 28 14:56:48 GMT 2023","Fri Apr 28 14:57:30 GMT 2023","42304","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Fri Apr 28 15:17:52 GMT 2023","Fri Apr 28 15:19:32 GMT 2023","99837","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Fri Apr 28 15:00:11 GMT 2023","Fri Apr 28 15:00:39 GMT 2023","28239","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Apr 28 15:00:41 GMT 2023","Fri Apr 28 15:01:27 GMT 2023","46235","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Apr 28 15:10:45 GMT 2023","Fri Apr 28 15:11:12 GMT 2023","26541","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Apr 28 14:47:22 GMT 2023","Fri Apr 28 14:47:47 GMT 2023","25237","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Apr 28 14:54:24 GMT 2023","Fri Apr 28 14:54:59 GMT 2023","35528","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
