"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 16 06:35:50 GMT 2022","Thu Jun 16 06:36:24 GMT 2022","33420","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Thu Jun 16 06:45:00 GMT 2022","Thu Jun 16 06:45:33 GMT 2022","33420","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Thu Jun 16 06:46:43 GMT 2022","Thu Jun 16 06:47:00 GMT 2022","17004","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Thu Jun 16 06:43:52 GMT 2022","Thu Jun 16 06:44:24 GMT 2022","32146","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Thu Jun 16 06:28:57 GMT 2022","Thu Jun 16 06:29:30 GMT 2022","33206","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Thu Jun 16 06:37:34 GMT 2022","Thu Jun 16 06:38:07 GMT 2022","33203","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Thu Jun 16 06:30:41 GMT 2022","Thu Jun 16 06:31:14 GMT 2022","33130","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"broken","Thu Jun 16 06:29:31 GMT 2022","Thu Jun 16 06:30:04 GMT 2022","33059","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Thu Jun 16 06:44:25 GMT 2022","Thu Jun 16 06:44:58 GMT 2022","32515","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"failed","Thu Jun 16 06:23:56 GMT 2022","Thu Jun 16 06:24:09 GMT 2022","13323","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Thu Jun 16 06:42:43 GMT 2022","Thu Jun 16 06:43:17 GMT 2022","33672","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Thu Jun 16 06:39:16 GMT 2022","Thu Jun 16 06:39:50 GMT 2022","33216","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"broken","Thu Jun 16 06:31:15 GMT 2022","Thu Jun 16 06:31:49 GMT 2022","33527","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Thu Jun 16 06:26:40 GMT 2022","Thu Jun 16 06:27:14 GMT 2022","33743","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Thu Jun 16 06:30:05 GMT 2022","Thu Jun 16 06:30:40 GMT 2022","34634","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"broken","Thu Jun 16 06:42:09 GMT 2022","Thu Jun 16 06:42:42 GMT 2022","33441","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Thu Jun 16 06:41:34 GMT 2022","Thu Jun 16 06:42:08 GMT 2022","33354","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Thu Jun 16 06:28:23 GMT 2022","Thu Jun 16 06:28:56 GMT 2022","32959","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"broken","Thu Jun 16 06:45:34 GMT 2022","Thu Jun 16 06:46:07 GMT 2022","33242","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Thu Jun 16 06:43:18 GMT 2022","Thu Jun 16 06:43:51 GMT 2022","32876","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Jun 16 06:24:54 GMT 2022","Thu Jun 16 06:25:35 GMT 2022","40657","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Thu Jun 16 06:34:42 GMT 2022","Thu Jun 16 06:35:15 GMT 2022","32784","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Thu Jun 16 06:41:00 GMT 2022","Thu Jun 16 06:41:33 GMT 2022","32721","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Thu Jun 16 06:32:59 GMT 2022","Thu Jun 16 06:33:33 GMT 2022","33543","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu Jun 16 06:24:10 GMT 2022","Thu Jun 16 06:24:33 GMT 2022","22983","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Thu Jun 16 06:34:08 GMT 2022","Thu Jun 16 06:34:41 GMT 2022","33480","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Thu Jun 16 06:24:34 GMT 2022","Thu Jun 16 06:24:53 GMT 2022","18685","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Thu Jun 16 06:38:08 GMT 2022","Thu Jun 16 06:38:41 GMT 2022","32361","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Thu Jun 16 06:32:24 GMT 2022","Thu Jun 16 06:32:58 GMT 2022","33726","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Thu Jun 16 06:35:16 GMT 2022","Thu Jun 16 06:35:49 GMT 2022","33160","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Thu Jun 16 06:27:15 GMT 2022","Thu Jun 16 06:27:48 GMT 2022","32575","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
