"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 05:52:19 GMT 2022","Tue May 03 05:53:04 GMT 2022","44825","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Tue May 03 05:47:35 GMT 2022","Tue May 03 05:48:17 GMT 2022","41977","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Tue May 03 05:36:46 GMT 2022","Tue May 03 05:37:33 GMT 2022","46833","","Complete Test Suite","","Complete Test Suite","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"failed","Tue May 03 05:31:55 GMT 2022","Tue May 03 05:32:18 GMT 2022","22190","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Tue May 03 05:58:49 GMT 2022","Tue May 03 05:59:34 GMT 2022","45099","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Tue May 03 05:37:34 GMT 2022","Tue May 03 05:38:24 GMT 2022","49892","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Tue May 03 05:34:37 GMT 2022","Tue May 03 05:35:58 GMT 2022","80863","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Tue May 03 05:39:13 GMT 2022","Tue May 03 05:40:01 GMT 2022","48330","","Complete Test Suite","","Complete Test Suite","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Tue May 03 05:41:05 GMT 2022","Tue May 03 05:42:15 GMT 2022","69992","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"broken","Tue May 03 06:01:30 GMT 2022","Tue May 03 06:03:38 GMT 2022","127783","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Tue May 03 05:40:02 GMT 2022","Tue May 03 05:41:04 GMT 2022","61903","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Tue May 03 05:49:20 GMT 2022","Tue May 03 05:50:03 GMT 2022","42659","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Tue May 03 05:48:18 GMT 2022","Tue May 03 05:49:19 GMT 2022","61404","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Tue May 03 05:45:21 GMT 2022","Tue May 03 05:46:30 GMT 2022","69377","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"passed","Tue May 03 05:50:04 GMT 2022","Tue May 03 05:50:46 GMT 2022","42060","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Tue May 03 05:53:05 GMT 2022","Tue May 03 05:53:48 GMT 2022","43196","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Tue May 03 05:55:29 GMT 2022","Tue May 03 05:56:19 GMT 2022","50195","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Tue May 03 05:57:08 GMT 2022","Tue May 03 05:58:00 GMT 2022","51186","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Tue May 03 05:35:59 GMT 2022","Tue May 03 05:36:45 GMT 2022","46434","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"passed","Tue May 03 05:46:31 GMT 2022","Tue May 03 05:47:34 GMT 2022","62206","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Tue May 03 05:58:01 GMT 2022","Tue May 03 05:58:47 GMT 2022","46743","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Tue May 03 05:50:47 GMT 2022","Tue May 03 05:51:30 GMT 2022","42879","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
