"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 15:26:22 GMT 2022","Tue Jul 19 15:26:55 GMT 2022","33473","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Tue Jul 19 15:29:55 GMT 2022","Tue Jul 19 15:31:29 GMT 2022","93503","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Tue Jul 19 15:46:43 GMT 2022","Tue Jul 19 15:48:13 GMT 2022","90568","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Tue Jul 19 15:37:20 GMT 2022","Tue Jul 19 15:38:55 GMT 2022","94358","","Complete Test Suite","","Complete Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Tue Jul 19 15:02:20 GMT 2022","Tue Jul 19 15:02:46 GMT 2022","26541","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Tue Jul 19 15:36:32 GMT 2022","Tue Jul 19 15:37:19 GMT 2022","46799","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Tue Jul 19 15:05:35 GMT 2022","Tue Jul 19 15:06:13 GMT 2022","38090","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Tue Jul 19 15:19:01 GMT 2022","Tue Jul 19 15:19:45 GMT 2022","43378","","Complete Test Suite","","Complete Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Tue Jul 19 15:16:37 GMT 2022","Tue Jul 19 15:17:04 GMT 2022","26229","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Tue Jul 19 15:34:42 GMT 2022","Tue Jul 19 15:36:31 GMT 2022","108792","","Complete Test Suite","","Complete Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Tue Jul 19 15:19:46 GMT 2022","Tue Jul 19 15:20:23 GMT 2022","37326","","Complete Test Suite","","Complete Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
