"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 07 11:54:58 GMT 2023","Tue Nov 07 11:55:23 GMT 2023","25273","","Forward","","Forward","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.",""
"broken","Tue Nov 07 11:41:08 GMT 2023","Tue Nov 07 11:41:34 GMT 2023","25726","","Inbox Suite","","Inbox Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Tue Nov 07 11:36:10 GMT 2023","Tue Nov 07 11:36:35 GMT 2023","25340","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Tue Nov 07 11:31:33 GMT 2023","Tue Nov 07 11:31:49 GMT 2023","15640","","leftAndRightPanel","","leftAndRightPanel","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Tue Nov 07 12:00:08 GMT 2023","Tue Nov 07 12:00:46 GMT 2023","38549","","Activity Panel and Notes","","Activity Panel and Notes","TC38- Verify that user is able to select between All Activities/Notes","TC38- Verify that user is able to select between All Activities/Notes",""
"passed","Tue Nov 07 11:27:06 GMT 2023","Tue Nov 07 11:27:36 GMT 2023","30203","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Tue Nov 07 11:52:15 GMT 2023","Tue Nov 07 11:52:36 GMT 2023","21734","","Quoted Text","","Quoted Text","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.",""
"passed","Tue Nov 07 11:31:19 GMT 2023","Tue Nov 07 11:31:33 GMT 2023","13941","","leftAndRightPanel","","leftAndRightPanel","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Tue Nov 07 11:37:01 GMT 2023","Tue Nov 07 11:37:26 GMT 2023","24147","","Inbox Suite","","Inbox Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Tue Nov 07 11:45:33 GMT 2023","Tue Nov 07 11:46:16 GMT 2023","43591","","Assignee","","Assignee","TC371 - To verify proper toast message is being displayed when conversation is being Unassigned from a particular user.","TC371 - To verify proper toast message is being displayed when conversation is being Unassigned from a particular user.",""
"passed","Tue Nov 07 11:30:32 GMT 2023","Tue Nov 07 11:30:47 GMT 2023","14338","","leftAndRightPanel","","leftAndRightPanel","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
