"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 23 11:33:29 GMT 2023","Wed Aug 23 11:33:59 GMT 2023","29306","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"broken","Wed Aug 23 11:51:48 GMT 2023","Wed Aug 23 11:52:33 GMT 2023","44837","","Assignee","","Assignee","TC366 - To verify ""Search"" tab opens on click of ""Assign to"" text in Conversation page.","TC366 - To verify ""Search"" tab opens on click of ""Assign to"" text in Conversation page.",""
"broken","Wed Aug 23 12:00:43 GMT 2023","Wed Aug 23 12:01:10 GMT 2023","27533","","Quoted Text","","Quoted Text","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"broken","Wed Aug 23 11:59:39 GMT 2023","Wed Aug 23 12:00:14 GMT 2023","35325","","Email Templates","","Email Templates","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".",""
"broken","Wed Aug 23 12:01:48 GMT 2023","Wed Aug 23 12:02:36 GMT 2023","47830","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"broken","Wed Aug 23 11:50:18 GMT 2023","Wed Aug 23 11:50:48 GMT 2023","29068","","Inbox Suite","","Inbox Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Wed Aug 23 11:37:22 GMT 2023","Wed Aug 23 11:37:51 GMT 2023","28727","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"broken","Wed Aug 23 11:41:34 GMT 2023","Wed Aug 23 11:42:03 GMT 2023","28782","","leftAndRightPanel","","leftAndRightPanel","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Wed Aug 23 11:39:52 GMT 2023","Wed Aug 23 11:40:06 GMT 2023","13331","","leftAndRightPanel","","leftAndRightPanel","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Aug 23 11:40:34 GMT 2023","Wed Aug 23 11:40:50 GMT 2023","16592","","leftAndRightPanel","","leftAndRightPanel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Wed Aug 23 11:44:23 GMT 2023","Wed Aug 23 11:44:35 GMT 2023","11823","","Inbox Suite","","Inbox Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Aug 23 11:52:33 GMT 2023","Wed Aug 23 11:53:07 GMT 2023","34456","","Assignee","","Assignee","TC368 - To verify on tapping ""ME(Current user name)"", the conversation should be assigned to current user.","TC368 - To verify on tapping ""ME(Current user name)"", the conversation should be assigned to current user.",""
"passed","Wed Aug 23 11:57:42 GMT 2023","Wed Aug 23 11:58:00 GMT 2023","18741","","Email Templates","","Email Templates","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".",""
