"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 06:54:16 GMT 2022","Wed Mar 02 06:55:09 GMT 2022","52649","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"broken","Wed Mar 02 06:59:47 GMT 2022","Wed Mar 02 07:01:13 GMT 2022","85783","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Wed Mar 02 06:57:44 GMT 2022","Wed Mar 02 06:58:37 GMT 2022","52098","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Wed Mar 02 07:02:47 GMT 2022","Wed Mar 02 07:03:54 GMT 2022","67026","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes",""
"passed","Wed Mar 02 06:56:56 GMT 2022","Wed Mar 02 06:57:43 GMT 2022","47084","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app",""
"passed","Wed Mar 02 07:05:00 GMT 2022","Wed Mar 02 07:06:15 GMT 2022","74574","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Wed Mar 02 07:01:14 GMT 2022","Wed Mar 02 07:02:46 GMT 2022","91839","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Wed Mar 02 07:03:56 GMT 2022","Wed Mar 02 07:04:59 GMT 2022","62951","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Tue Jan 25 08:26:45 GMT 2022","Tue Jan 25 08:27:07 GMT 2022","22186","","Login","","Login","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Mar 02 06:58:38 GMT 2022","Wed Mar 02 06:59:46 GMT 2022","68265","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Wed Mar 02 06:55:10 GMT 2022","Wed Mar 02 06:56:00 GMT 2022","49886","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Wed Mar 02 06:56:01 GMT 2022","Wed Mar 02 06:56:55 GMT 2022","53952","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC260- Verify that user is shown error message on trying to login to app without signup","TC260- Verify that user is shown error message on trying to login to app without signup",""
