"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 24 10:43:53 GMT 2022","Fri Jun 24 10:44:47 GMT 2022","54541","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Jun 24 10:35:38 GMT 2022","Fri Jun 24 10:36:29 GMT 2022","50619","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Fri Jun 24 10:50:19 GMT 2022","Fri Jun 24 10:51:14 GMT 2022","54725","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Fri Jun 24 10:39:16 GMT 2022","Fri Jun 24 10:40:10 GMT 2022","53870","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Fri Jun 24 10:56:45 GMT 2022","Fri Jun 24 10:57:39 GMT 2022","53706","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Fri Jun 24 10:41:07 GMT 2022","Fri Jun 24 10:42:01 GMT 2022","54685","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Fri Jun 24 10:46:39 GMT 2022","Fri Jun 24 10:47:33 GMT 2022","54338","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"broken","Fri Jun 24 10:33:47 GMT 2022","Fri Jun 24 10:34:42 GMT 2022","54689","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Fri Jun 24 10:42:02 GMT 2022","Fri Jun 24 10:42:57 GMT 2022","54493","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Fri Jun 24 10:40:11 GMT 2022","Fri Jun 24 10:41:06 GMT 2022","54330","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
