"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 05 15:03:09 GMT 2022","Fri Aug 05 15:03:39 GMT 2022","30165","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Fri Aug 05 15:24:07 GMT 2022","Fri Aug 05 15:24:40 GMT 2022","32976","","Complete Test Suite","","Complete Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri Aug 05 15:21:39 GMT 2022","Fri Aug 05 15:22:07 GMT 2022","28101","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Aug 05 15:08:55 GMT 2022","Fri Aug 05 15:09:50 GMT 2022","54790","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Fri Aug 05 15:18:09 GMT 2022","Fri Aug 05 15:18:34 GMT 2022","24760","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Aug 05 15:11:12 GMT 2022","Fri Aug 05 15:12:02 GMT 2022","49808","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Aug 05 15:52:14 GMT 2022","Fri Aug 05 15:52:42 GMT 2022","28200","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Fri Aug 05 15:37:41 GMT 2022","Fri Aug 05 15:38:14 GMT 2022","32848","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Fri Aug 05 15:10:41 GMT 2022","Fri Aug 05 15:11:11 GMT 2022","29569","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Aug 05 14:58:11 GMT 2022","Fri Aug 05 14:58:41 GMT 2022","29632","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
