"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 14:46:42 GMT 2023","Thu Apr 27 14:47:11 GMT 2023","28817","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Thu Apr 27 15:26:02 GMT 2023","Thu Apr 27 15:26:28 GMT 2023","26454","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Thu Apr 27 15:05:28 GMT 2023","Thu Apr 27 15:05:56 GMT 2023","27291","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Thu Apr 27 15:06:37 GMT 2023","Thu Apr 27 15:07:07 GMT 2023","30043","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Thu Apr 27 14:49:44 GMT 2023","Thu Apr 27 14:50:13 GMT 2023","29113","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Thu Apr 27 15:07:58 GMT 2023","Thu Apr 27 15:08:30 GMT 2023","32329","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Thu Apr 27 15:01:07 GMT 2023","Thu Apr 27 15:01:33 GMT 2023","25504","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Thu Apr 27 15:38:24 GMT 2023","Thu Apr 27 15:39:08 GMT 2023","43681","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Thu Apr 27 15:21:02 GMT 2023","Thu Apr 27 15:21:40 GMT 2023","38162","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Apr 27 14:50:44 GMT 2023","Thu Apr 27 14:51:14 GMT 2023","30156","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Thu Apr 27 15:03:34 GMT 2023","Thu Apr 27 15:04:21 GMT 2023","46627","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Thu Apr 27 15:37:55 GMT 2023","Thu Apr 27 15:38:23 GMT 2023","28008","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Thu Apr 27 15:34:12 GMT 2023","Thu Apr 27 15:36:18 GMT 2023","126100","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Thu Apr 27 15:32:33 GMT 2023","Thu Apr 27 15:34:11 GMT 2023","97551","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Thu Apr 27 15:31:01 GMT 2023","Thu Apr 27 15:32:32 GMT 2023","91583","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Thu Apr 27 14:43:41 GMT 2023","Thu Apr 27 14:43:59 GMT 2023","18332","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu Apr 27 14:43:18 GMT 2023","Thu Apr 27 14:43:40 GMT 2023","22076","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu Apr 27 15:07:08 GMT 2023","Thu Apr 27 15:07:56 GMT 2023","48142","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Thu Apr 27 15:05:57 GMT 2023","Thu Apr 27 15:06:36 GMT 2023","39051","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Thu Apr 27 14:59:46 GMT 2023","Thu Apr 27 15:00:14 GMT 2023","28156","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Thu Apr 27 15:12:44 GMT 2023","Thu Apr 27 15:13:14 GMT 2023","29438","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Thu Apr 27 15:13:15 GMT 2023","Thu Apr 27 15:14:38 GMT 2023","83345","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Thu Apr 27 14:54:40 GMT 2023","Thu Apr 27 14:55:22 GMT 2023","41580","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Thu Apr 27 14:59:21 GMT 2023","Thu Apr 27 14:59:45 GMT 2023","24326","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Thu Apr 27 15:16:10 GMT 2023","Thu Apr 27 15:17:53 GMT 2023","102854","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu Apr 27 14:52:14 GMT 2023","Thu Apr 27 14:52:46 GMT 2023","31580","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Thu Apr 27 14:44:00 GMT 2023","Thu Apr 27 14:44:41 GMT 2023","41251","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Thu Apr 27 15:14:39 GMT 2023","Thu Apr 27 15:16:09 GMT 2023","89179","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Thu Apr 27 14:50:14 GMT 2023","Thu Apr 27 14:50:42 GMT 2023","28605","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Thu Apr 27 15:01:34 GMT 2023","Thu Apr 27 15:02:00 GMT 2023","25678","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu Apr 27 15:39:09 GMT 2023","Thu Apr 27 15:39:32 GMT 2023","23068","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu Apr 27 15:02:55 GMT 2023","Thu Apr 27 15:03:33 GMT 2023","37598","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"broken","Thu Apr 27 15:24:05 GMT 2023","Thu Apr 27 15:24:31 GMT 2023","25150","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Apr 27 15:24:32 GMT 2023","Thu Apr 27 15:26:01 GMT 2023","89042","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Thu Apr 27 15:19:20 GMT 2023","Thu Apr 27 15:21:01 GMT 2023","101323","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Thu Apr 27 15:08:31 GMT 2023","Thu Apr 27 15:09:01 GMT 2023","29940","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu Apr 27 15:23:09 GMT 2023","Thu Apr 27 15:24:04 GMT 2023","55045","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Thu Apr 27 15:04:22 GMT 2023","Thu Apr 27 15:04:56 GMT 2023","34296","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Thu Apr 27 15:09:02 GMT 2023","Thu Apr 27 15:09:39 GMT 2023","36965","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Thu Apr 27 15:02:29 GMT 2023","Thu Apr 27 15:02:54 GMT 2023","24910","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Thu Apr 27 14:54:11 GMT 2023","Thu Apr 27 14:54:39 GMT 2023","28100","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Thu Apr 27 14:53:22 GMT 2023","Thu Apr 27 14:54:10 GMT 2023","47362","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu Apr 27 14:51:44 GMT 2023","Thu Apr 27 14:52:13 GMT 2023","28689","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Thu Apr 27 15:21:42 GMT 2023","Thu Apr 27 15:23:08 GMT 2023","86393","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Thu Apr 27 14:46:12 GMT 2023","Thu Apr 27 14:46:41 GMT 2023","28474","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"failed","Thu Apr 27 14:43:04 GMT 2023","Thu Apr 27 14:43:17 GMT 2023","12479","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu Apr 27 14:58:33 GMT 2023","Thu Apr 27 14:59:19 GMT 2023","46373","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Thu Apr 27 15:02:01 GMT 2023","Thu Apr 27 15:02:28 GMT 2023","27174","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Apr 27 14:47:12 GMT 2023","Thu Apr 27 14:47:40 GMT 2023","28614","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Thu Apr 27 15:17:54 GMT 2023","Thu Apr 27 15:19:19 GMT 2023","84680","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Thu Apr 27 14:57:16 GMT 2023","Thu Apr 27 14:58:03 GMT 2023","46886","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Thu Apr 27 14:56:19 GMT 2023","Thu Apr 27 14:57:15 GMT 2023","55768","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Thu Apr 27 14:49:12 GMT 2023","Thu Apr 27 14:49:42 GMT 2023","30313","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Thu Apr 27 14:51:15 GMT 2023","Thu Apr 27 14:51:43 GMT 2023","27825","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
