"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 15:06:40 GMT 2023","Sun Apr 23 15:07:10 GMT 2023","29479","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Sun Apr 23 15:08:19 GMT 2023","Sun Apr 23 15:08:51 GMT 2023","31578","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Sun Apr 23 14:59:50 GMT 2023","Sun Apr 23 15:00:14 GMT 2023","24250","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sun Apr 23 15:04:04 GMT 2023","Sun Apr 23 15:04:31 GMT 2023","27216","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Sun Apr 23 15:16:28 GMT 2023","Sun Apr 23 15:17:48 GMT 2023","79665","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Sun Apr 23 15:21:02 GMT 2023","Sun Apr 23 15:22:23 GMT 2023","80860","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"failed","Sun Apr 23 14:42:10 GMT 2023","Sun Apr 23 14:42:22 GMT 2023","11907","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sun Apr 23 15:31:34 GMT 2023","Sun Apr 23 15:32:01 GMT 2023","26222","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sun Apr 23 15:22:24 GMT 2023","Sun Apr 23 15:23:47 GMT 2023","83364","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Sun Apr 23 15:30:03 GMT 2023","Sun Apr 23 15:31:33 GMT 2023","89883","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sun Apr 23 15:08:52 GMT 2023","Sun Apr 23 15:09:19 GMT 2023","26909","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Sun Apr 23 15:14:16 GMT 2023","Sun Apr 23 15:15:53 GMT 2023","96730","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Sun Apr 23 15:32:46 GMT 2023","Sun Apr 23 15:33:10 GMT 2023","23387","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Sun Apr 23 14:42:45 GMT 2023","Sun Apr 23 14:43:03 GMT 2023","18065","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Apr 23 15:15:54 GMT 2023","Sun Apr 23 15:16:27 GMT 2023","33124","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sun Apr 23 15:20:36 GMT 2023","Sun Apr 23 15:21:01 GMT 2023","24892","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sun Apr 23 14:44:47 GMT 2023","Sun Apr 23 14:45:09 GMT 2023","22651","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sun Apr 23 14:56:17 GMT 2023","Sun Apr 23 14:56:42 GMT 2023","25391","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Sun Apr 23 14:49:36 GMT 2023","Sun Apr 23 14:50:03 GMT 2023","26961","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sun Apr 23 14:52:19 GMT 2023","Sun Apr 23 14:53:10 GMT 2023","50427","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Sun Apr 23 15:25:15 GMT 2023","Sun Apr 23 15:26:42 GMT 2023","86981","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Sun Apr 23 15:00:15 GMT 2023","Sun Apr 23 15:00:38 GMT 2023","22115","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sun Apr 23 14:42:23 GMT 2023","Sun Apr 23 14:42:44 GMT 2023","21118","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sun Apr 23 14:55:33 GMT 2023","Sun Apr 23 14:56:16 GMT 2023","42657","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Sun Apr 23 14:53:50 GMT 2023","Sun Apr 23 14:54:40 GMT 2023","49420","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Sun Apr 23 14:47:47 GMT 2023","Sun Apr 23 14:48:14 GMT 2023","27085","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Sun Apr 23 14:43:44 GMT 2023","Sun Apr 23 14:44:46 GMT 2023","61719","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Sun Apr 23 15:05:45 GMT 2023","Sun Apr 23 15:06:10 GMT 2023","25234","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sun Apr 23 14:48:15 GMT 2023","Sun Apr 23 14:48:41 GMT 2023","26220","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Sun Apr 23 14:50:05 GMT 2023","Sun Apr 23 14:50:31 GMT 2023","26097","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
