"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 14 14:54:23 GMT 2023","Mon Aug 14 14:55:31 GMT 2023","67649","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Mon Aug 14 14:45:56 GMT 2023","Mon Aug 14 14:46:44 GMT 2023","47610","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Mon Aug 14 14:48:37 GMT 2023","Mon Aug 14 14:49:37 GMT 2023","60169","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Mon Aug 14 14:52:34 GMT 2023","Mon Aug 14 14:53:34 GMT 2023","60054","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Mon Aug 14 14:42:38 GMT 2023","Mon Aug 14 14:45:08 GMT 2023","149897","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Mon Aug 14 14:47:35 GMT 2023","Mon Aug 14 14:48:35 GMT 2023","60029","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Mon Aug 14 14:53:35 GMT 2023","Mon Aug 14 14:54:22 GMT 2023","46939","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Mon Aug 14 15:00:28 GMT 2023","Mon Aug 14 15:01:28 GMT 2023","60028","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Mon Aug 14 15:05:23 GMT 2023","Mon Aug 14 15:06:19 GMT 2023","55443","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Mon Aug 14 14:51:30 GMT 2023","Mon Aug 14 14:52:32 GMT 2023","61838","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Mon Aug 14 15:11:55 GMT 2023","Mon Aug 14 15:13:49 GMT 2023","113985","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Mon Aug 14 15:03:23 GMT 2023","Mon Aug 14 15:05:22 GMT 2023","119419","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Mon Aug 14 15:09:02 GMT 2023","Mon Aug 14 15:09:55 GMT 2023","52764","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Mon Aug 14 14:50:34 GMT 2023","Mon Aug 14 14:51:29 GMT 2023","55135","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"broken","Mon Aug 14 14:55:32 GMT 2023","Mon Aug 14 14:56:29 GMT 2023","57430","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Mon Aug 14 15:14:41 GMT 2023","Mon Aug 14 15:15:29 GMT 2023","47626","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"passed","Mon Aug 14 15:06:20 GMT 2023","Mon Aug 14 15:08:11 GMT 2023","111390","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Mon Aug 14 14:56:31 GMT 2023","Mon Aug 14 15:00:27 GMT 2023","235871","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Mon Aug 14 14:49:38 GMT 2023","Mon Aug 14 14:50:33 GMT 2023","54740","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Mon Aug 14 15:13:50 GMT 2023","Mon Aug 14 15:14:40 GMT 2023","49909","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Mon Aug 14 14:46:45 GMT 2023","Mon Aug 14 14:47:34 GMT 2023","48944","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Mon Aug 14 15:01:29 GMT 2023","Mon Aug 14 15:02:24 GMT 2023","54964","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
