"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 06 14:55:36 GMT 2023","Sun Aug 06 14:56:31 GMT 2023","54973","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Sun Aug 06 14:45:00 GMT 2023","Sun Aug 06 14:45:44 GMT 2023","43349","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Sun Aug 06 15:12:10 GMT 2023","Sun Aug 06 15:12:55 GMT 2023","45691","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"broken","Sun Aug 06 14:47:16 GMT 2023","Sun Aug 06 14:48:39 GMT 2023","82882","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"broken","Sun Aug 06 14:50:29 GMT 2023","Sun Aug 06 14:51:51 GMT 2023","82130","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Sun Aug 06 15:05:23 GMT 2023","Sun Aug 06 15:07:03 GMT 2023","99258","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Sun Aug 06 14:48:40 GMT 2023","Sun Aug 06 14:49:36 GMT 2023","56205","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Sun Aug 06 15:01:53 GMT 2023","Sun Aug 06 15:02:43 GMT 2023","50156","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Sun Aug 06 14:42:47 GMT 2023","Sun Aug 06 14:44:59 GMT 2023","131738","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Sun Aug 06 15:04:31 GMT 2023","Sun Aug 06 15:05:22 GMT 2023","50340","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Sun Aug 06 15:07:04 GMT 2023","Sun Aug 06 15:07:50 GMT 2023","45975","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"broken","Sun Aug 06 15:10:17 GMT 2023","Sun Aug 06 15:12:08 GMT 2023","110919","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Sun Aug 06 14:46:30 GMT 2023","Sun Aug 06 14:47:15 GMT 2023","44841","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Sun Aug 06 14:51:52 GMT 2023","Sun Aug 06 14:52:50 GMT 2023","57524","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Sun Aug 06 15:01:01 GMT 2023","Sun Aug 06 15:01:52 GMT 2023","50232","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
