"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 28 15:19:01 GMT 2022","Sat May 28 15:19:44 GMT 2022","43407","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"broken","Sat May 28 15:06:29 GMT 2022","Sat May 28 15:07:13 GMT 2022","43713","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"broken","Sat May 28 15:13:07 GMT 2022","Sat May 28 15:13:50 GMT 2022","43178","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Sat May 28 15:27:11 GMT 2022","Sat May 28 15:27:53 GMT 2022","42372","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Sat May 28 15:30:52 GMT 2022","Sat May 28 15:31:35 GMT 2022","42608","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sat May 28 14:57:25 GMT 2022","Sat May 28 14:57:58 GMT 2022","32718","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Sat May 28 15:28:39 GMT 2022","Sat May 28 15:29:22 GMT 2022","42770","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Sat May 28 15:05:45 GMT 2022","Sat May 28 15:06:28 GMT 2022","43392","","Complete Test Suite","","Complete Test Suite","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Sat May 28 15:04:17 GMT 2022","Sat May 28 15:05:00 GMT 2022","42840","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Sat May 28 15:20:30 GMT 2022","Sat May 28 15:21:13 GMT 2022","42634","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Sat May 28 15:16:04 GMT 2022","Sat May 28 15:16:47 GMT 2022","42849","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Sat May 28 15:27:55 GMT 2022","Sat May 28 15:28:38 GMT 2022","43344","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sat May 28 15:12:23 GMT 2022","Sat May 28 15:13:06 GMT 2022","42977","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Sat May 28 15:10:54 GMT 2022","Sat May 28 15:11:38 GMT 2022","43365","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Sat May 28 15:01:19 GMT 2022","Sat May 28 15:02:03 GMT 2022","43309","","Complete Test Suite","","Complete Test Suite","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"broken","Sat May 28 15:18:16 GMT 2022","Sat May 28 15:19:00 GMT 2022","43503","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Sat May 28 15:00:35 GMT 2022","Sat May 28 15:01:18 GMT 2022","43593","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"broken","Sat May 28 15:22:47 GMT 2022","Sat May 28 15:23:29 GMT 2022","42897","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sat May 28 14:57:02 GMT 2022","Sat May 28 14:57:24 GMT 2022","21894","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Sat May 28 15:23:31 GMT 2022","Sat May 28 15:24:13 GMT 2022","42633","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Sat May 28 15:25:43 GMT 2022","Sat May 28 15:26:25 GMT 2022","42539","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Sat May 28 15:14:36 GMT 2022","Sat May 28 15:15:18 GMT 2022","42575","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Sat May 28 15:07:14 GMT 2022","Sat May 28 15:07:57 GMT 2022","42764","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Sat May 28 15:02:48 GMT 2022","Sat May 28 15:03:31 GMT 2022","42929","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Sat May 28 15:22:03 GMT 2022","Sat May 28 15:22:45 GMT 2022","42698","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Sat May 28 15:19:45 GMT 2022","Sat May 28 15:20:29 GMT 2022","43394","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Sat May 28 15:26:26 GMT 2022","Sat May 28 15:27:10 GMT 2022","43709","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Sat May 28 15:05:01 GMT 2022","Sat May 28 15:05:44 GMT 2022","42590","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"broken","Sat May 28 15:24:15 GMT 2022","Sat May 28 15:24:58 GMT 2022","43074","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Sat May 28 15:24:59 GMT 2022","Sat May 28 15:25:41 GMT 2022","42725","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Sat May 28 15:17:32 GMT 2022","Sat May 28 15:18:15 GMT 2022","42954","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Sat May 28 15:15:19 GMT 2022","Sat May 28 15:16:03 GMT 2022","43638","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Sat May 28 15:09:27 GMT 2022","Sat May 28 15:10:09 GMT 2022","42808","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Sat May 28 15:03:33 GMT 2022","Sat May 28 15:04:16 GMT 2022","43421","","Complete Test Suite","","Complete Test Suite","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Sat May 28 14:57:59 GMT 2022","Sat May 28 14:58:28 GMT 2022","28652","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sat May 28 15:31:36 GMT 2022","Sat May 28 15:32:08 GMT 2022","32535","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
