"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 15:22:22 GMT 2023","Thu Jul 13 15:23:44 GMT 2023","82349","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu Jul 13 14:51:54 GMT 2023","Thu Jul 13 14:52:44 GMT 2023","49798","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"broken","Thu Jul 13 15:00:58 GMT 2023","Thu Jul 13 15:01:41 GMT 2023","42634","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"failed","Thu Jul 13 14:41:02 GMT 2023","Thu Jul 13 14:41:14 GMT 2023","12027","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu Jul 13 15:00:22 GMT 2023","Thu Jul 13 15:00:57 GMT 2023","35313","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Thu Jul 13 14:45:29 GMT 2023","Thu Jul 13 14:45:59 GMT 2023","30091","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Thu Jul 13 14:46:55 GMT 2023","Thu Jul 13 14:47:24 GMT 2023","28614","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Thu Jul 13 15:05:33 GMT 2023","Thu Jul 13 15:05:57 GMT 2023","24306","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu Jul 13 15:33:12 GMT 2023","Thu Jul 13 15:33:35 GMT 2023","23328","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu Jul 13 15:27:14 GMT 2023","Thu Jul 13 15:28:40 GMT 2023","85121","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Thu Jul 13 15:30:34 GMT 2023","Thu Jul 13 15:31:59 GMT 2023","85588","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu Jul 13 15:07:11 GMT 2023","Thu Jul 13 15:07:40 GMT 2023","29552","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Thu Jul 13 15:12:29 GMT 2023","Thu Jul 13 15:14:08 GMT 2023","99452","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu Jul 13 14:59:32 GMT 2023","Thu Jul 13 14:59:56 GMT 2023","24198","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Jul 13 14:55:13 GMT 2023","Thu Jul 13 14:55:56 GMT 2023","42903","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
