"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 24 05:55:45 GMT 2022","Fri Jun 24 05:57:00 GMT 2022","74418","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Fri Jun 24 05:39:47 GMT 2022","Fri Jun 24 05:40:55 GMT 2022","68065","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Fri Jun 24 05:43:16 GMT 2022","Fri Jun 24 05:44:20 GMT 2022","64422","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Jun 24 05:59:33 GMT 2022","Fri Jun 24 06:00:39 GMT 2022","65238","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Jun 24 05:48:08 GMT 2022","Fri Jun 24 05:49:18 GMT 2022","69191","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Fri Jun 24 05:58:17 GMT 2022","Fri Jun 24 05:59:32 GMT 2022","75192","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"broken","Fri Jun 24 06:00:40 GMT 2022","Fri Jun 24 06:01:55 GMT 2022","75599","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Jun 24 05:31:12 GMT 2022","Fri Jun 24 05:32:15 GMT 2022","62594","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Fri Jun 24 05:44:21 GMT 2022","Fri Jun 24 05:45:39 GMT 2022","77970","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"broken","Fri Jun 24 05:51:49 GMT 2022","Fri Jun 24 05:53:04 GMT 2022","75125","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Fri Jun 24 05:45:40 GMT 2022","Fri Jun 24 05:46:51 GMT 2022","70679","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Fri Jun 24 05:34:00 GMT 2022","Fri Jun 24 05:35:05 GMT 2022","65728","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Jun 24 05:33:07 GMT 2022","Fri Jun 24 05:33:58 GMT 2022","51354","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Fri Jun 24 05:54:21 GMT 2022","Fri Jun 24 05:55:44 GMT 2022","82867","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Fri Jun 24 05:53:05 GMT 2022","Fri Jun 24 05:54:20 GMT 2022","74972","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Jun 24 05:50:35 GMT 2022","Fri Jun 24 05:51:48 GMT 2022","73171","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"broken","Fri Jun 24 05:49:19 GMT 2022","Fri Jun 24 05:50:34 GMT 2022","75291","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Fri Jun 24 05:37:27 GMT 2022","Fri Jun 24 05:38:35 GMT 2022","67573","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Fri Jun 24 05:35:06 GMT 2022","Fri Jun 24 05:36:15 GMT 2022","68997","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Jun 24 05:36:16 GMT 2022","Fri Jun 24 05:37:26 GMT 2022","69722","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Jun 24 05:32:16 GMT 2022","Fri Jun 24 05:33:06 GMT 2022","50015","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"failed","Fri Jun 24 05:38:36 GMT 2022","Fri Jun 24 05:39:46 GMT 2022","70496","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Fri Jun 24 05:42:07 GMT 2022","Fri Jun 24 05:43:15 GMT 2022","68120","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Fri Jun 24 05:40:57 GMT 2022","Fri Jun 24 05:42:05 GMT 2022","68819","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Fri Jun 24 05:46:52 GMT 2022","Fri Jun 24 05:48:07 GMT 2022","75353","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Fri Jun 24 05:30:26 GMT 2022","Fri Jun 24 05:31:11 GMT 2022","45437","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Fri Jun 24 05:57:01 GMT 2022","Fri Jun 24 05:58:16 GMT 2022","74984","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
