"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 11:28:36 GMT 2022","Wed Jul 13 11:29:41 GMT 2022","65503","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Jul 13 11:33:30 GMT 2022","Wed Jul 13 11:35:07 GMT 2022","96937","","Complete Test Suite","","Complete Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Wed Jul 13 11:26:47 GMT 2022","Wed Jul 13 11:28:35 GMT 2022","107822","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Wed Jul 13 11:24:06 GMT 2022","Wed Jul 13 11:25:10 GMT 2022","64470","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Wed Jul 13 11:37:42 GMT 2022","Wed Jul 13 11:39:27 GMT 2022","105397","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Wed Jul 13 10:59:39 GMT 2022","Wed Jul 13 11:00:29 GMT 2022","50894","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Wed Jul 13 11:17:43 GMT 2022","Wed Jul 13 11:21:14 GMT 2022","210932","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Wed Jul 13 10:57:45 GMT 2022","Wed Jul 13 10:58:48 GMT 2022","62411","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Wed Jul 13 10:58:49 GMT 2022","Wed Jul 13 10:59:37 GMT 2022","48754","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Wed Jul 13 11:07:22 GMT 2022","Wed Jul 13 11:08:27 GMT 2022","65642","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
