"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 02 15:24:20 GMT 2022","Thu Jun 02 15:25:07 GMT 2022","46964","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Thu Jun 02 15:34:01 GMT 2022","Thu Jun 02 15:34:47 GMT 2022","45799","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Jun 02 15:08:58 GMT 2022","Thu Jun 02 15:09:55 GMT 2022","57416","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu Jun 02 15:15:55 GMT 2022","Thu Jun 02 15:16:31 GMT 2022","35817","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Thu Jun 02 15:16:32 GMT 2022","Thu Jun 02 15:17:28 GMT 2022","56702","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Thu Jun 02 15:17:30 GMT 2022","Thu Jun 02 15:18:06 GMT 2022","36044","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu Jun 02 15:07:27 GMT 2022","Thu Jun 02 15:08:12 GMT 2022","44902","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Thu Jun 02 15:30:06 GMT 2022","Thu Jun 02 15:32:12 GMT 2022","125845","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu Jun 02 15:26:29 GMT 2022","Thu Jun 02 15:28:12 GMT 2022","102453","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Thu Jun 02 15:14:55 GMT 2022","Thu Jun 02 15:15:53 GMT 2022","58206","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Thu Jun 02 15:05:59 GMT 2022","Thu Jun 02 15:06:40 GMT 2022","41074","","Complete Test Suite","","Complete Test Suite","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Thu Jun 02 15:35:48 GMT 2022","Thu Jun 02 15:37:43 GMT 2022","114955","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu Jun 02 15:25:50 GMT 2022","Thu Jun 02 15:26:28 GMT 2022","38259","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Thu Jun 02 15:13:51 GMT 2022","Thu Jun 02 15:14:54 GMT 2022","63397","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"passed","Thu Jun 02 15:32:13 GMT 2022","Thu Jun 02 15:32:56 GMT 2022","42796","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Jun 02 15:20:44 GMT 2022","Thu Jun 02 15:21:21 GMT 2022","36853","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu Jun 02 15:18:07 GMT 2022","Thu Jun 02 15:18:43 GMT 2022","36465","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Jun 02 15:22:50 GMT 2022","Thu Jun 02 15:23:33 GMT 2022","43472","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Thu Jun 02 15:45:32 GMT 2022","Thu Jun 02 15:47:23 GMT 2022","111338","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu Jun 02 15:25:08 GMT 2022","Thu Jun 02 15:25:48 GMT 2022","40531","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Thu Jun 02 15:02:04 GMT 2022","Thu Jun 02 15:02:36 GMT 2022","32378","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu Jun 02 15:39:40 GMT 2022","Thu Jun 02 15:41:34 GMT 2022","114408","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
