"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 15:31:04 GMT 2022","Tue Jul 12 15:32:38 GMT 2022","94694","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Tue Jul 12 15:21:49 GMT 2022","Tue Jul 12 15:22:33 GMT 2022","43591","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Tue Jul 12 15:06:34 GMT 2022","Tue Jul 12 15:07:12 GMT 2022","38678","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Tue Jul 12 15:42:29 GMT 2022","Tue Jul 12 15:44:13 GMT 2022","103667","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Tue Jul 12 15:05:24 GMT 2022","Tue Jul 12 15:05:57 GMT 2022","33308","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Tue Jul 12 15:11:49 GMT 2022","Tue Jul 12 15:12:52 GMT 2022","62891","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Tue Jul 12 15:24:03 GMT 2022","Tue Jul 12 15:24:37 GMT 2022","33774","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Tue Jul 12 15:00:49 GMT 2022","Tue Jul 12 15:01:23 GMT 2022","33857","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Tue Jul 12 14:58:05 GMT 2022","Tue Jul 12 14:59:10 GMT 2022","65932","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Tue Jul 12 15:47:59 GMT 2022","Tue Jul 12 15:49:46 GMT 2022","107116","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Tue Jul 12 15:25:21 GMT 2022","Tue Jul 12 15:26:08 GMT 2022","47528","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Tue Jul 12 15:44:14 GMT 2022","Tue Jul 12 15:46:01 GMT 2022","107254","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Tue Jul 12 15:09:57 GMT 2022","Tue Jul 12 15:10:42 GMT 2022","45043","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Tue Jul 12 15:01:24 GMT 2022","Tue Jul 12 15:02:00 GMT 2022","35922","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Tue Jul 12 15:21:13 GMT 2022","Tue Jul 12 15:21:48 GMT 2022","34849","","Complete Test Suite","","Complete Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Tue Jul 12 15:17:37 GMT 2022","Tue Jul 12 15:18:09 GMT 2022","32270","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
