"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 24 15:15:17 GMT 2022","Fri Jun 24 15:16:10 GMT 2022","53091","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Jun 24 15:06:32 GMT 2022","Fri Jun 24 15:07:03 GMT 2022","31174","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Jun 24 15:27:04 GMT 2022","Fri Jun 24 15:27:34 GMT 2022","30511","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Jun 24 15:01:00 GMT 2022","Fri Jun 24 15:02:05 GMT 2022","64812","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Jun 24 15:03:09 GMT 2022","Fri Jun 24 15:03:42 GMT 2022","32293","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Jun 24 15:03:43 GMT 2022","Fri Jun 24 15:04:15 GMT 2022","32578","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Fri Jun 24 15:37:48 GMT 2022","Fri Jun 24 15:38:17 GMT 2022","28986","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Fri Jun 24 15:32:05 GMT 2022","Fri Jun 24 15:32:35 GMT 2022","29275","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"failed","Fri Jun 24 15:30:11 GMT 2022","Fri Jun 24 15:30:49 GMT 2022","38361","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Fri Jun 24 15:34:13 GMT 2022","Fri Jun 24 15:35:10 GMT 2022","57049","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Jun 24 15:17:37 GMT 2022","Fri Jun 24 15:18:07 GMT 2022","29624","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Fri Jun 24 15:23:42 GMT 2022","Fri Jun 24 15:24:13 GMT 2022","30736","","Complete Test Suite","","Complete Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Fri Jun 24 15:37:17 GMT 2022","Fri Jun 24 15:37:46 GMT 2022","29428","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Fri Jun 24 15:38:48 GMT 2022","Fri Jun 24 15:39:19 GMT 2022","30959","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"failed","Fri Jun 24 15:29:32 GMT 2022","Fri Jun 24 15:30:10 GMT 2022","37519","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri Jun 24 15:25:00 GMT 2022","Fri Jun 24 15:25:33 GMT 2022","33101","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Fri Jun 24 15:02:36 GMT 2022","Fri Jun 24 15:03:08 GMT 2022","32308","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Jun 24 15:04:52 GMT 2022","Fri Jun 24 15:05:22 GMT 2022","30392","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"failed","Fri Jun 24 15:28:15 GMT 2022","Fri Jun 24 15:28:53 GMT 2022","37825","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Fri Jun 24 15:26:27 GMT 2022","Fri Jun 24 15:27:02 GMT 2022","35320","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Fri Jun 24 15:07:04 GMT 2022","Fri Jun 24 15:07:35 GMT 2022","30146","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"broken","Fri Jun 24 15:32:36 GMT 2022","Fri Jun 24 15:33:05 GMT 2022","29049","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Fri Jun 24 15:35:53 GMT 2022","Fri Jun 24 15:36:46 GMT 2022","52909","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Jun 24 15:05:24 GMT 2022","Fri Jun 24 15:05:55 GMT 2022","30707","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Jun 24 15:35:12 GMT 2022","Fri Jun 24 15:35:51 GMT 2022","39920","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Fri Jun 24 15:39:51 GMT 2022","Fri Jun 24 15:40:31 GMT 2022","39537","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"broken","Fri Jun 24 15:38:18 GMT 2022","Fri Jun 24 15:38:46 GMT 2022","28611","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri Jun 24 15:20:08 GMT 2022","Fri Jun 24 15:20:41 GMT 2022","32845","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Fri Jun 24 15:18:56 GMT 2022","Fri Jun 24 15:20:06 GMT 2022","70784","","Complete Test Suite","","Complete Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
