"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 09 15:10:19 GMT 2022","Thu Jun 09 15:10:52 GMT 2022","33073","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Thu Jun 09 15:25:10 GMT 2022","Thu Jun 09 15:25:45 GMT 2022","35758","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"failed","Thu Jun 09 15:19:11 GMT 2022","Thu Jun 09 15:19:42 GMT 2022","31541","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Thu Jun 09 15:20:50 GMT 2022","Thu Jun 09 15:21:22 GMT 2022","31858","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"failed","Thu Jun 09 15:18:38 GMT 2022","Thu Jun 09 15:19:10 GMT 2022","32129","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Thu Jun 09 15:17:16 GMT 2022","Thu Jun 09 15:17:43 GMT 2022","26420","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Thu Jun 09 15:12:28 GMT 2022","Thu Jun 09 15:13:05 GMT 2022","37448","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"failed","Thu Jun 09 15:19:43 GMT 2022","Thu Jun 09 15:20:16 GMT 2022","32995","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Thu Jun 09 15:26:13 GMT 2022","Thu Jun 09 15:26:37 GMT 2022","24257","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Thu Jun 09 15:25:46 GMT 2022","Thu Jun 09 15:26:12 GMT 2022","25385","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu Jun 09 15:16:45 GMT 2022","Thu Jun 09 15:17:15 GMT 2022","30774","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Thu Jun 09 15:27:33 GMT 2022","Thu Jun 09 15:27:57 GMT 2022","24219","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Thu Jun 09 15:09:22 GMT 2022","Thu Jun 09 15:09:50 GMT 2022","28108","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Thu Jun 09 15:23:42 GMT 2022","Thu Jun 09 15:24:33 GMT 2022","50217","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Thu Jun 09 15:28:59 GMT 2022","Thu Jun 09 15:29:34 GMT 2022","34635","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Thu Jun 09 15:10:54 GMT 2022","Thu Jun 09 15:11:28 GMT 2022","34807","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Thu Jun 09 15:15:19 GMT 2022","Thu Jun 09 15:15:45 GMT 2022","26426","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Jun 09 15:07:48 GMT 2022","Thu Jun 09 15:08:51 GMT 2022","62821","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Thu Jun 09 15:14:09 GMT 2022","Thu Jun 09 15:14:51 GMT 2022","41362","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Thu Jun 09 15:12:00 GMT 2022","Thu Jun 09 15:12:26 GMT 2022","26694","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Thu Jun 09 15:13:06 GMT 2022","Thu Jun 09 15:13:37 GMT 2022","31014","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Thu Jun 09 15:29:35 GMT 2022","Thu Jun 09 15:29:59 GMT 2022","23974","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu Jun 09 15:08:52 GMT 2022","Thu Jun 09 15:09:21 GMT 2022","28485","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Thu Jun 09 15:09:51 GMT 2022","Thu Jun 09 15:10:18 GMT 2022","26958","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"broken","Thu Jun 09 15:22:19 GMT 2022","Thu Jun 09 15:22:43 GMT 2022","24589","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Thu Jun 09 15:26:39 GMT 2022","Thu Jun 09 15:27:06 GMT 2022","27886","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Thu Jun 09 15:21:52 GMT 2022","Thu Jun 09 15:22:18 GMT 2022","26068","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Thu Jun 09 15:06:10 GMT 2022","Thu Jun 09 15:06:22 GMT 2022","12062","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu Jun 09 15:11:30 GMT 2022","Thu Jun 09 15:11:56 GMT 2022","26540","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"failed","Thu Jun 09 15:17:44 GMT 2022","Thu Jun 09 15:18:36 GMT 2022","51711","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Thu Jun 09 15:15:46 GMT 2022","Thu Jun 09 15:16:12 GMT 2022","25416","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Thu Jun 09 15:27:58 GMT 2022","Thu Jun 09 15:28:22 GMT 2022","24500","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"broken","Thu Jun 09 15:22:44 GMT 2022","Thu Jun 09 15:23:09 GMT 2022","24584","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu Jun 09 15:13:38 GMT 2022","Thu Jun 09 15:14:08 GMT 2022","29953","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Thu Jun 09 15:27:07 GMT 2022","Thu Jun 09 15:27:32 GMT 2022","24155","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Thu Jun 09 15:06:23 GMT 2022","Thu Jun 09 15:06:46 GMT 2022","23007","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Thu Jun 09 15:28:23 GMT 2022","Thu Jun 09 15:28:58 GMT 2022","34422","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
