"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 31 04:47:51 GMT 2023","Thu Aug 31 04:48:19 GMT 2023","27609","","Activity Panel and Notes","","Activity Panel and Notes","TC44- Verify that user should see only 2 lines of parent notes and the commentors name for context","TC44- Verify that user should see only 2 lines of parent notes and the commentors name for context",""
"broken","Thu Aug 31 04:50:31 GMT 2023","Thu Aug 31 04:50:57 GMT 2023","26013","","Activity Panel and Notes","","Activity Panel and Notes","TC289- Verify that user is taken to activity screen on opening a notification related to activity","TC289- Verify that user is taken to activity screen on opening a notification related to activity",""
"passed","Thu Aug 31 04:33:57 GMT 2023","Thu Aug 31 04:34:18 GMT 2023","20853","","Assignee","","Assignee","TC379 - To verify proper error message is displayed when user tries to search with invalid input.","TC379 - To verify proper error message is displayed when user tries to search with invalid input.",""
"broken","Thu Aug 31 04:46:29 GMT 2023","Thu Aug 31 04:46:56 GMT 2023","26408","","Activity Panel and Notes","","Activity Panel and Notes","TC38- Verify that user is able to select between All Activities/Notes","TC38- Verify that user is able to select between All Activities/Notes",""
"broken","Thu Aug 31 04:10:24 GMT 2023","Thu Aug 31 04:11:14 GMT 2023","49363","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Thu Aug 31 04:13:32 GMT 2023","Thu Aug 31 04:14:06 GMT 2023","33456","","leftAndRightPanel","","leftAndRightPanel","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu Aug 31 04:31:20 GMT 2023","Thu Aug 31 04:32:07 GMT 2023","47263","","Assignee","","Assignee","TC369 - To verify if user clicks on ""Unassign"" , the conversation should get unassigned from the current user.","TC369 - To verify if user clicks on ""Unassign"" , the conversation should get unassigned from the current user.",""
"broken","Thu Aug 31 04:48:45 GMT 2023","Thu Aug 31 04:49:12 GMT 2023","26687","","Activity Panel and Notes","","Activity Panel and Notes","TC56- Verify that user is able to @mention people on note","TC56- Verify that user is able to @mention people on note",""
"passed","Thu Aug 31 04:07:44 GMT 2023","Thu Aug 31 04:08:02 GMT 2023","17882","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Thu Aug 31 04:29:34 GMT 2023","Thu Aug 31 04:30:43 GMT 2023","69320","","Inbox Suite","","Inbox Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu Aug 31 04:39:02 GMT 2023","Thu Aug 31 04:39:25 GMT 2023","22705","","Quoted Text","","Quoted Text","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.",""
"passed","Thu Aug 31 04:18:40 GMT 2023","Thu Aug 31 04:19:01 GMT 2023","21276","","Inbox Suite","","Inbox Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Thu Aug 31 04:11:14 GMT 2023","Thu Aug 31 04:11:26 GMT 2023","11896","","leftAndRightPanel","","leftAndRightPanel","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Thu Aug 31 04:32:07 GMT 2023","Thu Aug 31 04:33:17 GMT 2023","69230","","Assignee","","Assignee","TC371 - To verify proper toast message is being displayed when conversation is being Unassigned from a particular user.","TC371 - To verify proper toast message is being displayed when conversation is being Unassigned from a particular user.",""
"passed","Thu Aug 31 04:22:59 GMT 2023","Thu Aug 31 04:23:28 GMT 2023","28562","","Inbox Suite","","Inbox Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Aug 31 04:44:55 GMT 2023","Thu Aug 31 04:45:23 GMT 2023","27344","","Activity Panel and Notes","","Activity Panel and Notes","TC29- Verify if the user has switched from Notes to Activity or vice versa on Activities Panel, panel should maintain the same state when the user visits the same screen next time.","TC29- Verify if the user has switched from Notes to Activity or vice versa on Activities Panel, panel should maintain the same state when the user visits the same screen next time.",""
"passed","Thu Aug 31 04:13:16 GMT 2023","Thu Aug 31 04:13:32 GMT 2023","16337","","leftAndRightPanel","","leftAndRightPanel","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Thu Aug 31 04:39:57 GMT 2023","Thu Aug 31 04:40:18 GMT 2023","20314","","Quoted Text","","Quoted Text","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached",""
"passed","Thu Aug 31 04:19:39 GMT 2023","Thu Aug 31 04:19:57 GMT 2023","17976","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Thu Aug 31 04:09:17 GMT 2023","Thu Aug 31 04:10:24 GMT 2023","67859","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Thu Aug 31 04:12:27 GMT 2023","Thu Aug 31 04:12:43 GMT 2023","15381","","leftAndRightPanel","","leftAndRightPanel","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Thu Aug 31 04:49:12 GMT 2023","Thu Aug 31 04:49:38 GMT 2023","26158","","Activity Panel and Notes","","Activity Panel and Notes","TC61- Verify that placeholder text is shown after deleting notes","TC61- Verify that placeholder text is shown after deleting notes",""
"passed","Thu Aug 31 04:20:30 GMT 2023","Thu Aug 31 04:20:51 GMT 2023","21261","","Inbox Suite","","Inbox Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Thu Aug 31 04:26:07 GMT 2023","Thu Aug 31 04:27:14 GMT 2023","67595","","Inbox Suite","","Inbox Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu Aug 31 04:08:02 GMT 2023","Thu Aug 31 04:08:32 GMT 2023","30267","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Thu Aug 31 04:19:01 GMT 2023","Thu Aug 31 04:19:20 GMT 2023","18987","","Inbox Suite","","Inbox Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"broken","Thu Aug 31 04:46:03 GMT 2023","Thu Aug 31 04:46:29 GMT 2023","26102","","Activity Panel and Notes","","Activity Panel and Notes","TC37- Verify that user is able to add a new note or reply to existing note","TC37- Verify that user is able to add a new note or reply to existing note",""
"passed","Thu Aug 31 04:19:57 GMT 2023","Thu Aug 31 04:20:30 GMT 2023","32690","","Inbox Suite","","Inbox Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Thu Aug 31 04:33:36 GMT 2023","Thu Aug 31 04:33:57 GMT 2023","21360","","Assignee","","Assignee","TC377 - To verify search results are displayed when user enters valid username in the ""Assign to"" search field.","TC377 - To verify search results are displayed when user enters valid username in the ""Assign to"" search field.",""
"broken","Thu Aug 31 04:37:18 GMT 2023","Thu Aug 31 04:37:47 GMT 2023","29228","","Quoted Text","","Quoted Text","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"passed","Thu Aug 31 04:18:12 GMT 2023","Thu Aug 31 04:18:40 GMT 2023","27747","","Inbox Suite","","Inbox Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Thu Aug 31 04:16:13 GMT 2023","Thu Aug 31 04:17:03 GMT 2023","49787","","Inbox Suite","","Inbox Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Thu Aug 31 04:21:59 GMT 2023","Thu Aug 31 04:22:59 GMT 2023","60494","","Inbox Suite","","Inbox Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Thu Aug 31 04:12:59 GMT 2023","Thu Aug 31 04:13:16 GMT 2023","17243","","leftAndRightPanel","","leftAndRightPanel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Thu Aug 31 04:43:16 GMT 2023","Thu Aug 31 04:43:32 GMT 2023","16486","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"broken","Thu Aug 31 04:37:47 GMT 2023","Thu Aug 31 04:38:17 GMT 2023","29477","","Quoted Text","","Quoted Text","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"passed","Thu Aug 31 04:19:20 GMT 2023","Thu Aug 31 04:19:39 GMT 2023","19163","","Inbox Suite","","Inbox Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Thu Aug 31 04:34:36 GMT 2023","Thu Aug 31 04:34:56 GMT 2023","19803","","Email Templates","","Email Templates","TC325 - Verify that user is able to see recently used templates list"".","TC325 - Verify that user is able to see recently used templates list"".",""
"passed","Thu Aug 31 04:11:41 GMT 2023","Thu Aug 31 04:11:57 GMT 2023","16093","","leftAndRightPanel","","leftAndRightPanel","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Thu Aug 31 04:42:02 GMT 2023","Thu Aug 31 04:42:54 GMT 2023","52394","","Forward","","Forward","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Thu Aug 31 04:24:32 GMT 2023","Thu Aug 31 04:25:39 GMT 2023","67224","","Inbox Suite","","Inbox Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Thu Aug 31 04:48:19 GMT 2023","Thu Aug 31 04:48:45 GMT 2023","26376","","Activity Panel and Notes","","Activity Panel and Notes","TC55- Verify that user is able to add a new note or reply to an existing note","TC55- Verify that user is able to add a new note or reply to an existing note",""
