"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 03 05:21:56 GMT 2023","Tue Oct 03 05:22:14 GMT 2023","17971","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"broken","Tue Oct 03 05:06:24 GMT 2023","Tue Oct 03 05:06:50 GMT 2023","26054","","Inbox Suite","","Inbox Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Tue Oct 03 05:16:48 GMT 2023","Tue Oct 03 05:17:10 GMT 2023","22209","","Quoted Text","","Quoted Text","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.",""
"broken","Tue Oct 03 05:06:50 GMT 2023","Tue Oct 03 05:07:16 GMT 2023","26500","","Inbox Suite","","Inbox Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Tue Oct 03 05:20:04 GMT 2023","Tue Oct 03 05:20:22 GMT 2023","18264","","Forward","","Forward","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Tue Oct 03 05:18:32 GMT 2023","Tue Oct 03 05:18:54 GMT 2023","21694","","Quoted Text","","Quoted Text","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached",""
"broken","Tue Oct 03 04:51:22 GMT 2023","Tue Oct 03 04:51:42 GMT 2023","19857","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"broken","Tue Oct 03 05:24:07 GMT 2023","Tue Oct 03 05:24:48 GMT 2023","40287","","Activity Panel and Notes","","Activity Panel and Notes","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel",""
"broken","Tue Oct 03 05:32:29 GMT 2023","Tue Oct 03 05:33:48 GMT 2023","79747","","Activity Panel and Notes","","Activity Panel and Notes","TC61- Verify that placeholder text is shown after deleting notes","TC61- Verify that placeholder text is shown after deleting notes",""
"broken","Tue Oct 03 05:01:39 GMT 2023","Tue Oct 03 05:02:05 GMT 2023","25925","","Inbox Suite","","Inbox Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Tue Oct 03 05:35:24 GMT 2023","Tue Oct 03 05:35:46 GMT 2023","22214","","Activity Panel and Notes","","Activity Panel and Notes","TC285- Verify that count of activity gets updated on changing status of an email","TC285- Verify that count of activity gets updated on changing status of an email",""
"passed","Tue Oct 03 04:54:22 GMT 2023","Tue Oct 03 04:54:37 GMT 2023","14976","","leftAndRightPanel","","leftAndRightPanel","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Tue Oct 03 04:56:14 GMT 2023","Tue Oct 03 04:56:41 GMT 2023","26778","","leftAndRightPanel","","leftAndRightPanel","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Tue Oct 03 05:21:33 GMT 2023","Tue Oct 03 05:21:56 GMT 2023","22687","","Forward","","Forward","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"broken","Tue Oct 03 05:02:57 GMT 2023","Tue Oct 03 05:03:22 GMT 2023","25720","","Inbox Suite","","Inbox Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Tue Oct 03 05:12:20 GMT 2023","Tue Oct 03 05:12:42 GMT 2023","22116","","Assignee","","Assignee","TC379 - To verify proper error message is displayed when user tries to search with invalid input.","TC379 - To verify proper error message is displayed when user tries to search with invalid input.",""
"broken","Tue Oct 03 05:03:22 GMT 2023","Tue Oct 03 05:03:48 GMT 2023","25152","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Tue Oct 03 04:53:19 GMT 2023","Tue Oct 03 04:54:09 GMT 2023","49831","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"broken","Tue Oct 03 05:05:33 GMT 2023","Tue Oct 03 05:05:59 GMT 2023","26013","","Inbox Suite","","Inbox Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Tue Oct 03 05:27:13 GMT 2023","Tue Oct 03 05:28:45 GMT 2023","92224","","Activity Panel and Notes","","Activity Panel and Notes","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ",""
"passed","Tue Oct 03 05:22:14 GMT 2023","Tue Oct 03 05:22:42 GMT 2023","28024","","Activity Panel and Notes","","Activity Panel and Notes","TC27- Verify that user can see the Activity timeline pertaining to a conversation","TC27- Verify that user can see the Activity timeline pertaining to a conversation",""
"passed","Tue Oct 03 05:22:42 GMT 2023","Tue Oct 03 05:23:39 GMT 2023","57670","","Activity Panel and Notes","","Activity Panel and Notes","TC28- Verify that the app remembers the last accessed section between Notes/Activities in conversation footer","TC28- Verify that the app remembers the last accessed section between Notes/Activities in conversation footer",""
"broken","Tue Oct 03 05:16:19 GMT 2023","Tue Oct 03 05:16:48 GMT 2023","28696","","Quoted Text","","Quoted Text","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"passed","Tue Oct 03 05:31:22 GMT 2023","Tue Oct 03 05:32:29 GMT 2023","66749","","Activity Panel and Notes","","Activity Panel and Notes","TC56- Verify that user is able to @mention people on note","TC56- Verify that user is able to @mention people on note",""
"passed","Tue Oct 03 04:54:09 GMT 2023","Tue Oct 03 04:54:22 GMT 2023","12623","","leftAndRightPanel","","leftAndRightPanel","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Tue Oct 03 05:24:48 GMT 2023","Tue Oct 03 05:25:40 GMT 2023","51853","","Activity Panel and Notes","","Activity Panel and Notes","TC37- Verify that user is able to add a new note or reply to existing note","TC37- Verify that user is able to add a new note or reply to existing note",""
"broken","Tue Oct 03 04:59:31 GMT 2023","Tue Oct 03 04:59:57 GMT 2023","25930","","Inbox Suite","","Inbox Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Tue Oct 03 05:11:38 GMT 2023","Tue Oct 03 05:11:58 GMT 2023","20439","","Assignee","","Assignee","TC372 - To verify keyboard is popped up when user clicks on the ""Search starts with"" text field in ""Assign to"" drop down/popup","TC372 - To verify keyboard is popped up when user clicks on the ""Search starts with"" text field in ""Assign to"" drop down/popup",""
"broken","Tue Oct 03 05:18:54 GMT 2023","Tue Oct 03 05:19:26 GMT 2023","32681","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"broken","Tue Oct 03 05:04:40 GMT 2023","Tue Oct 03 05:05:07 GMT 2023","26460","","Inbox Suite","","Inbox Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Tue Oct 03 05:00:22 GMT 2023","Tue Oct 03 05:00:48 GMT 2023","25914","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Tue Oct 03 05:13:45 GMT 2023","Tue Oct 03 05:14:11 GMT 2023","25873","","Email Templates","","Email Templates","TC331 - To verify if user is able to preview email templates."".","TC331 - To verify if user is able to preview email templates."".",""
