"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 22 08:27:12 GMT 2022","Mon Aug 22 08:27:46 GMT 2022","33913","","Complete Test Suite","","Complete Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Mon Aug 22 07:55:43 GMT 2022","Mon Aug 22 07:56:14 GMT 2022","31097","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Mon Aug 22 08:23:35 GMT 2022","Mon Aug 22 08:24:09 GMT 2022","34527","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Mon Aug 22 07:50:09 GMT 2022","Mon Aug 22 07:50:29 GMT 2022","19483","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Mon Aug 22 07:56:16 GMT 2022","Mon Aug 22 07:56:47 GMT 2022","30973","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Mon Aug 22 07:56:48 GMT 2022","Mon Aug 22 07:57:20 GMT 2022","31645","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Mon Aug 22 07:50:30 GMT 2022","Mon Aug 22 07:51:22 GMT 2022","51809","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Mon Aug 22 08:15:51 GMT 2022","Mon Aug 22 08:16:25 GMT 2022","34514","","Complete Test Suite","","Complete Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Mon Aug 22 08:34:20 GMT 2022","Mon Aug 22 08:34:55 GMT 2022","34608","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Mon Aug 22 07:52:59 GMT 2022","Mon Aug 22 07:53:30 GMT 2022","31203","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Mon Aug 22 07:49:30 GMT 2022","Mon Aug 22 07:49:43 GMT 2022","12408","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Mon Aug 22 08:20:01 GMT 2022","Mon Aug 22 08:20:35 GMT 2022","33736","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Mon Aug 22 07:49:44 GMT 2022","Mon Aug 22 07:50:08 GMT 2022","23785","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Mon Aug 22 08:09:18 GMT 2022","Mon Aug 22 08:09:52 GMT 2022","33700","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Mon Aug 22 08:00:03 GMT 2022","Mon Aug 22 08:00:58 GMT 2022","55282","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
