"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 27 15:10:21 GMT 2022","Fri May 27 15:11:05 GMT 2022","44098","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Fri May 27 15:12:38 GMT 2022","Fri May 27 15:13:21 GMT 2022","42909","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Fri May 27 15:15:36 GMT 2022","Fri May 27 15:16:19 GMT 2022","42669","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri May 27 15:01:34 GMT 2022","Fri May 27 15:02:48 GMT 2022","74047","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Fri May 27 15:14:07 GMT 2022","Fri May 27 15:14:50 GMT 2022","43441","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Fri May 27 15:06:32 GMT 2022","Fri May 27 15:07:18 GMT 2022","45512","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Fri May 27 15:30:22 GMT 2022","Fri May 27 15:31:09 GMT 2022","46552","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Fri May 27 15:08:49 GMT 2022","Fri May 27 15:09:35 GMT 2022","46190","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"broken","Fri May 27 15:23:02 GMT 2022","Fri May 27 15:23:46 GMT 2022","43510","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Fri May 27 15:32:38 GMT 2022","Fri May 27 15:33:23 GMT 2022","44236","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"broken","Fri May 27 15:31:54 GMT 2022","Fri May 27 15:32:37 GMT 2022","42781","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Fri May 27 15:34:10 GMT 2022","Fri May 27 15:34:42 GMT 2022","32467","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Fri May 27 15:00:13 GMT 2022","Fri May 27 15:00:42 GMT 2022","28602","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Fri May 27 15:16:20 GMT 2022","Fri May 27 15:17:03 GMT 2022","43088","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Fri May 27 14:59:16 GMT 2022","Fri May 27 14:59:37 GMT 2022","21912","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Fri May 27 15:09:36 GMT 2022","Fri May 27 15:10:20 GMT 2022","43402","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Fri May 27 15:26:44 GMT 2022","Fri May 27 15:27:26 GMT 2022","42207","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Fri May 27 15:28:54 GMT 2022","Fri May 27 15:29:36 GMT 2022","42484","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Fri May 27 15:02:49 GMT 2022","Fri May 27 15:03:33 GMT 2022","43456","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"broken","Fri May 27 15:04:18 GMT 2022","Fri May 27 15:05:02 GMT 2022","43766","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"broken","Fri May 27 15:23:47 GMT 2022","Fri May 27 15:24:31 GMT 2022","44183","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Fri May 27 15:19:16 GMT 2022","Fri May 27 15:19:59 GMT 2022","42827","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Fri May 27 15:05:03 GMT 2022","Fri May 27 15:05:46 GMT 2022","43223","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Fri May 27 15:11:06 GMT 2022","Fri May 27 15:11:49 GMT 2022","42879","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Fri May 27 15:29:38 GMT 2022","Fri May 27 15:30:21 GMT 2022","43381","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Fri May 27 15:08:04 GMT 2022","Fri May 27 15:08:48 GMT 2022","44060","","Complete Test Suite","","Complete Test Suite","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Fri May 27 15:24:33 GMT 2022","Fri May 27 15:25:15 GMT 2022","42765","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Fri May 27 15:11:50 GMT 2022","Fri May 27 15:12:37 GMT 2022","46665","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Fri May 27 15:18:32 GMT 2022","Fri May 27 15:19:15 GMT 2022","42623","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Fri May 27 15:22:17 GMT 2022","Fri May 27 15:23:01 GMT 2022","44769","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Fri May 27 14:59:39 GMT 2022","Fri May 27 15:00:12 GMT 2022","33027","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Fri May 27 15:27:27 GMT 2022","Fri May 27 15:28:09 GMT 2022","42031","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Fri May 27 15:31:10 GMT 2022","Fri May 27 15:31:53 GMT 2022","43283","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Fri May 27 15:14:52 GMT 2022","Fri May 27 15:15:35 GMT 2022","43022","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Fri May 27 15:20:44 GMT 2022","Fri May 27 15:21:28 GMT 2022","43842","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Fri May 27 15:00:43 GMT 2022","Fri May 27 15:01:33 GMT 2022","49935","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Fri May 27 15:21:30 GMT 2022","Fri May 27 15:22:15 GMT 2022","45646","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"broken","Fri May 27 15:17:48 GMT 2022","Fri May 27 15:18:31 GMT 2022","43107","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Fri May 27 15:25:17 GMT 2022","Fri May 27 15:25:59 GMT 2022","41987","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Fri May 27 15:28:10 GMT 2022","Fri May 27 15:28:53 GMT 2022","42508","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Fri May 27 15:33:24 GMT 2022","Fri May 27 15:34:09 GMT 2022","44828","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
