"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 08:11:05 GMT 2023","Wed Feb 15 08:11:35 GMT 2023","30070","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Wed Feb 15 08:07:25 GMT 2023","Wed Feb 15 08:08:03 GMT 2023","38272","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Wed Feb 15 07:45:52 GMT 2023","Wed Feb 15 07:46:10 GMT 2023","18405","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Wed Feb 15 08:06:28 GMT 2023","Wed Feb 15 08:06:57 GMT 2023","28580","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Feb 15 07:50:13 GMT 2023","Wed Feb 15 07:50:38 GMT 2023","24897","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Feb 15 08:22:29 GMT 2023","Wed Feb 15 08:23:52 GMT 2023","82563","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Wed Feb 15 08:26:40 GMT 2023","Wed Feb 15 08:27:05 GMT 2023","24821","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Feb 15 07:59:52 GMT 2023","Wed Feb 15 08:00:19 GMT 2023","27068","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Feb 15 08:08:05 GMT 2023","Wed Feb 15 08:08:32 GMT 2023","27697","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Wed Feb 15 08:37:48 GMT 2023","Wed Feb 15 08:38:14 GMT 2023","26631","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"broken","Wed Feb 15 08:05:08 GMT 2023","Wed Feb 15 08:05:53 GMT 2023","44987","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Wed Feb 15 07:49:14 GMT 2023","Wed Feb 15 07:49:42 GMT 2023","27885","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Wed Feb 15 08:29:55 GMT 2023","Wed Feb 15 08:31:19 GMT 2023","83704","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Wed Feb 15 07:59:07 GMT 2023","Wed Feb 15 07:59:51 GMT 2023","44056","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Wed Feb 15 08:24:43 GMT 2023","Wed Feb 15 08:25:14 GMT 2023","30115","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Wed Feb 15 08:32:53 GMT 2023","Wed Feb 15 08:34:20 GMT 2023","86425","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Wed Feb 15 08:14:21 GMT 2023","Wed Feb 15 08:15:44 GMT 2023","82505","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Feb 15 08:05:54 GMT 2023","Wed Feb 15 08:06:27 GMT 2023","32897","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Wed Feb 15 08:03:38 GMT 2023","Wed Feb 15 08:04:04 GMT 2023","26237","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Wed Feb 15 07:57:22 GMT 2023","Wed Feb 15 07:58:12 GMT 2023","50420","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Wed Feb 15 07:53:28 GMT 2023","Wed Feb 15 07:53:56 GMT 2023","27357","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Wed Feb 15 07:56:40 GMT 2023","Wed Feb 15 07:57:20 GMT 2023","40854","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Wed Feb 15 08:23:53 GMT 2023","Wed Feb 15 08:24:42 GMT 2023","49502","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Wed Feb 15 08:12:40 GMT 2023","Wed Feb 15 08:13:16 GMT 2023","36311","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Wed Feb 15 07:47:55 GMT 2023","Wed Feb 15 07:48:20 GMT 2023","24743","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Wed Feb 15 08:34:21 GMT 2023","Wed Feb 15 08:36:15 GMT 2023","114375","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Wed Feb 15 08:08:34 GMT 2023","Wed Feb 15 08:09:19 GMT 2023","45154","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Wed Feb 15 08:01:59 GMT 2023","Wed Feb 15 08:02:45 GMT 2023","46278","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Wed Feb 15 07:51:35 GMT 2023","Wed Feb 15 07:52:03 GMT 2023","27881","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Wed Feb 15 08:39:04 GMT 2023","Wed Feb 15 08:39:27 GMT 2023","22742","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Wed Feb 15 08:13:17 GMT 2023","Wed Feb 15 08:13:45 GMT 2023","27605","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Wed Feb 15 08:12:09 GMT 2023","Wed Feb 15 08:12:39 GMT 2023","29945","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Wed Feb 15 08:09:48 GMT 2023","Wed Feb 15 08:10:23 GMT 2023","34807","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Wed Feb 15 08:28:30 GMT 2023","Wed Feb 15 08:29:54 GMT 2023","84082","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Wed Feb 15 07:55:46 GMT 2023","Wed Feb 15 07:56:38 GMT 2023","52263","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Wed Feb 15 08:13:46 GMT 2023","Wed Feb 15 08:14:19 GMT 2023","32952","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Wed Feb 15 07:46:11 GMT 2023","Wed Feb 15 07:46:50 GMT 2023","39319","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Wed Feb 15 08:09:20 GMT 2023","Wed Feb 15 08:09:47 GMT 2023","26492","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Wed Feb 15 07:52:31 GMT 2023","Wed Feb 15 07:52:59 GMT 2023","27921","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Wed Feb 15 07:53:00 GMT 2023","Wed Feb 15 07:53:27 GMT 2023","26767","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Wed Feb 15 07:46:51 GMT 2023","Wed Feb 15 07:47:54 GMT 2023","62406","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Feb 15 08:10:24 GMT 2023","Wed Feb 15 08:11:03 GMT 2023","39496","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Feb 15 08:02:46 GMT 2023","Wed Feb 15 08:03:12 GMT 2023","25383","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
