"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 22 15:00:04 GMT 2023","Wed Mar 22 15:00:32 GMT 2023","28109","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Mar 22 15:01:23 GMT 2023","Wed Mar 22 15:01:48 GMT 2023","25326","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Wed Mar 22 14:55:40 GMT 2023","Wed Mar 22 14:56:33 GMT 2023","53170","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Wed Mar 22 15:23:36 GMT 2023","Wed Mar 22 15:24:18 GMT 2023","41318","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Wed Mar 22 15:02:21 GMT 2023","Wed Mar 22 15:03:14 GMT 2023","52931","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Wed Mar 22 14:54:17 GMT 2023","Wed Mar 22 14:54:51 GMT 2023","34134","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Wed Mar 22 15:36:52 GMT 2023","Wed Mar 22 15:39:03 GMT 2023","130586","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Wed Mar 22 14:46:29 GMT 2023","Wed Mar 22 14:47:32 GMT 2023","62644","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Mar 22 15:27:20 GMT 2023","Wed Mar 22 15:28:47 GMT 2023","86677","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Mar 22 14:54:52 GMT 2023","Wed Mar 22 14:55:39 GMT 2023","46480","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Wed Mar 22 15:03:43 GMT 2023","Wed Mar 22 15:04:08 GMT 2023","25236","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Wed Mar 22 15:33:37 GMT 2023","Wed Mar 22 15:35:16 GMT 2023","98737","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Wed Mar 22 14:51:47 GMT 2023","Wed Mar 22 14:52:14 GMT 2023","26633","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Wed Mar 22 14:51:19 GMT 2023","Wed Mar 22 14:51:46 GMT 2023","27013","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
