"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 16:12:00 GMT 2023","Thu Aug 24 16:12:32 GMT 2023","31957","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Thu Aug 24 15:39:49 GMT 2023","Thu Aug 24 15:40:21 GMT 2023","32212","","Conversation Search","","Conversation Search","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.",""
"passed","Thu Aug 24 15:37:50 GMT 2023","Thu Aug 24 15:38:21 GMT 2023","30819","","Conversation Search","","Conversation Search","TC524 - To verify that the separate search page contains switchable ""SM"" and All mailboxes"" tab.","TC524 - To verify that the separate search page contains switchable ""SM"" and All mailboxes"" tab.",""
"passed","Thu Aug 24 15:41:25 GMT 2023","Thu Aug 24 15:41:55 GMT 2023","30195","","Conversation Search","","Conversation Search","TC532 - To verify that name of the originator of the conversation is displayed in the search results.","TC532 - To verify that name of the originator of the conversation is displayed in the search results.",""
"passed","Thu Aug 24 15:37:02 GMT 2023","Thu Aug 24 15:37:24 GMT 2023","21886","","Conversation Search","","Conversation Search","TC522 - To verify ""Search"" icon is visible in the homepage of the app.","TC522 - To verify ""Search"" icon is visible in the homepage of the app.",""
"passed","Thu Aug 24 16:14:55 GMT 2023","Thu Aug 24 16:16:12 GMT 2023","77500","","Forward","","Forward","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Thu Aug 24 15:31:28 GMT 2023","Thu Aug 24 15:32:09 GMT 2023","40558","","Quoted Text","","Quoted Text","TC579 - To verify quoted text with dark mode","TC579 - To verify quoted text with dark mode",""
"broken","Thu Aug 24 15:29:53 GMT 2023","Thu Aug 24 15:30:58 GMT 2023","64438","","Quoted Text","","Quoted Text","TC576 - To verify the removed quoted text in the Gmail conversation","TC576 - To verify the removed quoted text in the Gmail conversation",""
"passed","Thu Aug 24 15:51:40 GMT 2023","Thu Aug 24 15:52:09 GMT 2023","29618","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Thu Aug 24 15:46:17 GMT 2023","Thu Aug 24 15:46:55 GMT 2023","37967","","Conversation Search","","Conversation Search","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.",""
"broken","Thu Aug 24 15:43:15 GMT 2023","Thu Aug 24 15:43:55 GMT 2023","40311","","Conversation Search","","Conversation Search","TC537 - To verify SM chip name is displayed under ""All mailbox"" tab in search result page.","TC537 - To verify SM chip name is displayed under ""All mailbox"" tab in search result page.",""
"passed","Thu Aug 24 15:24:14 GMT 2023","Thu Aug 24 15:24:56 GMT 2023","42047","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"passed","Thu Aug 24 15:26:00 GMT 2023","Thu Aug 24 15:26:35 GMT 2023","35606","","Quoted Text","","Quoted Text","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen",""
"passed","Thu Aug 24 15:23:06 GMT 2023","Thu Aug 24 15:23:37 GMT 2023","31485","","Quoted Text","","Quoted Text","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"passed","Thu Aug 24 15:52:10 GMT 2023","Thu Aug 24 15:52:40 GMT 2023","29346","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Thu Aug 24 16:18:05 GMT 2023","Thu Aug 24 16:19:05 GMT 2023","59840","","Forward","","Forward","TC594 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC594 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Thu Aug 24 15:38:22 GMT 2023","Thu Aug 24 15:38:48 GMT 2023","26027","","Conversation Search","","Conversation Search","TC526 - To verify if user clicks on the ""Close"" icon in search field, the keyboard should not dismiss.","TC526 - To verify if user clicks on the ""Close"" icon in search field, the keyboard should not dismiss.",""
"passed","Thu Aug 24 15:32:10 GMT 2023","Thu Aug 24 15:33:04 GMT 2023","54589","","Quoted Text","","Quoted Text","TC598 - To verify the focus/cusor when user removes the attachment in compose screen","TC598 - To verify the focus/cusor when user removes the attachment in compose screen",""
"passed","Thu Aug 24 15:30:59 GMT 2023","Thu Aug 24 15:31:27 GMT 2023","28338","","Quoted Text","","Quoted Text","TC577 - To verify the quoted text with no internet","TC577 - To verify the quoted text with no internet",""
"broken","Thu Aug 24 15:21:48 GMT 2023","Thu Aug 24 15:22:32 GMT 2023","44733","","Quoted Text","","Quoted Text","TC559 - To verify ""Show Quoted Text"" is visible in the conversation thread list page.","TC559 - To verify ""Show Quoted Text"" is visible in the conversation thread list page.",""
"broken","Thu Aug 24 15:58:35 GMT 2023","Thu Aug 24 15:59:14 GMT 2023","38968","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Thu Aug 24 15:52:41 GMT 2023","Thu Aug 24 15:53:23 GMT 2023","42312","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"broken","Thu Aug 24 15:27:10 GMT 2023","Thu Aug 24 15:27:54 GMT 2023","44324","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"passed","Thu Aug 24 15:39:18 GMT 2023","Thu Aug 24 15:39:48 GMT 2023","29712","","Conversation Search","","Conversation Search","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.",""
