"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 05:58:13 GMT 2022","Wed Aug 10 05:58:43 GMT 2022","29745","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Aug 10 06:54:13 GMT 2022","Wed Aug 10 06:54:43 GMT 2022","29740","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Wed Aug 10 06:03:55 GMT 2022","Wed Aug 10 06:04:48 GMT 2022","53456","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Wed Aug 10 06:13:09 GMT 2022","Wed Aug 10 06:13:40 GMT 2022","30251","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Wed Aug 10 06:52:31 GMT 2022","Wed Aug 10 06:54:12 GMT 2022","100814","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Aug 10 06:11:26 GMT 2022","Wed Aug 10 06:12:01 GMT 2022","35405","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Wed Aug 10 06:27:30 GMT 2022","Wed Aug 10 06:29:01 GMT 2022","90957","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Aug 10 06:09:31 GMT 2022","Wed Aug 10 06:10:01 GMT 2022","30008","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Aug 10 05:58:45 GMT 2022","Wed Aug 10 05:59:15 GMT 2022","29739","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Aug 10 06:16:54 GMT 2022","Wed Aug 10 06:17:35 GMT 2022","41110","","Complete Test Suite","","Complete Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
