"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 15:02:11 GMT 2023","Tue Feb 28 15:02:35 GMT 2023","24386","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Tue Feb 28 15:03:29 GMT 2023","Tue Feb 28 15:04:09 GMT 2023","40000","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Tue Feb 28 14:59:13 GMT 2023","Tue Feb 28 14:59:58 GMT 2023","45718","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Tue Feb 28 14:45:34 GMT 2023","Tue Feb 28 14:46:37 GMT 2023","63039","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Tue Feb 28 15:30:07 GMT 2023","Tue Feb 28 15:31:44 GMT 2023","97060","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Tue Feb 28 14:51:16 GMT 2023","Tue Feb 28 14:51:45 GMT 2023","29030","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Tue Feb 28 15:35:07 GMT 2023","Tue Feb 28 15:36:39 GMT 2023","91905","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Tue Feb 28 15:07:39 GMT 2023","Tue Feb 28 15:08:25 GMT 2023","45262","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Tue Feb 28 15:11:58 GMT 2023","Tue Feb 28 15:12:26 GMT 2023","28155","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Tue Feb 28 15:18:49 GMT 2023","Tue Feb 28 15:20:32 GMT 2023","102266","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Tue Feb 28 15:23:27 GMT 2023","Tue Feb 28 15:23:56 GMT 2023","29358","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Tue Feb 28 15:08:26 GMT 2023","Tue Feb 28 15:08:52 GMT 2023","25946","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Tue Feb 28 15:03:03 GMT 2023","Tue Feb 28 15:03:27 GMT 2023","24642","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
