"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 16 20:22:51 GMT 2023","Sat Sep 16 20:23:34 GMT 2023","42492","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Sat Sep 16 20:59:03 GMT 2023","Sat Sep 16 21:00:28 GMT 2023","85590","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"broken","Sat Sep 16 21:13:52 GMT 2023","Sat Sep 16 21:14:45 GMT 2023","52953","","Activity Panel and Notes","","Activity Panel and Notes","TC56- Verify that user is able to @mention people on note","TC56- Verify that user is able to @mention people on note",""
"broken","Sat Sep 16 20:35:36 GMT 2023","Sat Sep 16 20:36:19 GMT 2023","43068","","Inbox Suite","","Inbox Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sat Sep 16 20:30:38 GMT 2023","Sat Sep 16 20:31:21 GMT 2023","42574","","Inbox Suite","","Inbox Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Sat Sep 16 20:11:50 GMT 2023","Sat Sep 16 20:12:07 GMT 2023","17456","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Sat Sep 16 21:01:21 GMT 2023","Sat Sep 16 21:02:13 GMT 2023","51918","","Forward","","Forward","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"broken","Sat Sep 16 21:05:03 GMT 2023","Sat Sep 16 21:05:57 GMT 2023","53127","","Activity Panel and Notes","","Activity Panel and Notes","TC27- Verify that user can see the Activity timeline pertaining to a conversation","TC27- Verify that user can see the Activity timeline pertaining to a conversation",""
"broken","Sat Sep 16 20:54:12 GMT 2023","Sat Sep 16 20:55:27 GMT 2023","75280","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"broken","Sat Sep 16 21:10:21 GMT 2023","Sat Sep 16 21:11:14 GMT 2023","53033","","Activity Panel and Notes","","Activity Panel and Notes","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.",""
