"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 14:48:42 GMT 2023","Wed Aug 23 14:49:20 GMT 2023","38045","","Quoted Text","","Quoted Text","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen",""
"passed","Wed Aug 23 15:39:32 GMT 2023","Wed Aug 23 15:40:02 GMT 2023","30715","","Forward","","Forward","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.",""
"passed","Wed Aug 23 15:00:45 GMT 2023","Wed Aug 23 15:01:12 GMT 2023","27057","","Conversation Search","","Conversation Search","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.",""
"passed","Wed Aug 23 15:01:13 GMT 2023","Wed Aug 23 15:01:46 GMT 2023","32165","","Conversation Search","","Conversation Search","TC524 - To verify that the separate search page contains switchable ""SM"" and All mailboxes"" tab.","TC524 - To verify that the separate search page contains switchable ""SM"" and All mailboxes"" tab.",""
"passed","Wed Aug 23 15:04:22 GMT 2023","Wed Aug 23 15:04:55 GMT 2023","33407","","Conversation Search","","Conversation Search","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.",""
"passed","Wed Aug 23 15:09:56 GMT 2023","Wed Aug 23 15:10:37 GMT 2023","41096","","Conversation Search","","Conversation Search","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.","TC543 - To verify search results are displayed even when user puts the app in background and comes back again.",""
"broken","Wed Aug 23 15:41:13 GMT 2023","Wed Aug 23 15:42:00 GMT 2023","46912","","Forward","","Forward","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Wed Aug 23 15:10:38 GMT 2023","Wed Aug 23 15:11:10 GMT 2023","31288","","Conversation Search","","Conversation Search","TC544 - To verify user is able to scroll the search result.","TC544 - To verify user is able to scroll the search result.",""
"passed","Wed Aug 23 15:15:41 GMT 2023","Wed Aug 23 15:16:13 GMT 2023","32088","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Wed Aug 23 15:31:07 GMT 2023","Wed Aug 23 15:32:38 GMT 2023","91232","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"broken","Wed Aug 23 15:40:04 GMT 2023","Wed Aug 23 15:40:42 GMT 2023","38489","","Forward","","Forward","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Wed Aug 23 14:56:23 GMT 2023","Wed Aug 23 14:56:57 GMT 2023","34347","","Quoted Text","","Quoted Text","TC581 - To verify the quoted received by the new recipient","TC581 - To verify the quoted received by the new recipient",""
