"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 15 13:33:01 GMT 2023","Fri Sep 15 13:33:57 GMT 2023","55131","","Quoted Text","","Quoted Text","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"broken","Fri Sep 15 13:36:17 GMT 2023","Fri Sep 15 13:37:33 GMT 2023","75579","","Quoted Text","","Quoted Text","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.",""
"broken","Fri Sep 15 13:25:11 GMT 2023","Fri Sep 15 13:26:24 GMT 2023","72990","","Assignee","","Assignee","TC379 - To verify proper error message is displayed when user tries to search with invalid input.","TC379 - To verify proper error message is displayed when user tries to search with invalid input.",""
"broken","Fri Sep 15 13:29:57 GMT 2023","Fri Sep 15 13:30:39 GMT 2023","42774","","Email Templates","","Email Templates","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".",""
"broken","Fri Sep 15 13:26:24 GMT 2023","Fri Sep 15 13:27:07 GMT 2023","42699","","Email Templates","","Email Templates","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".",""
"broken","Fri Sep 15 12:47:49 GMT 2023","Fri Sep 15 12:48:52 GMT 2023","62864","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"broken","Fri Sep 15 13:07:18 GMT 2023","Fri Sep 15 13:08:00 GMT 2023","42665","","Inbox Suite","","Inbox Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"broken","Fri Sep 15 13:32:04 GMT 2023","Fri Sep 15 13:33:01 GMT 2023","57176","","Quoted Text","","Quoted Text","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"broken","Fri Sep 15 13:08:43 GMT 2023","Fri Sep 15 13:09:26 GMT 2023","42563","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Fri Sep 15 13:05:53 GMT 2023","Fri Sep 15 13:06:35 GMT 2023","42557","","Inbox Suite","","Inbox Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"broken","Fri Sep 15 12:52:20 GMT 2023","Fri Sep 15 12:53:23 GMT 2023","62721","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"broken","Fri Sep 15 13:04:28 GMT 2023","Fri Sep 15 13:05:10 GMT 2023","42332","","Inbox Suite","","Inbox Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Fri Sep 15 12:58:03 GMT 2023","Fri Sep 15 12:58:25 GMT 2023","22454","","leftAndRightPanel","","leftAndRightPanel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"broken","Fri Sep 15 12:59:31 GMT 2023","Fri Sep 15 13:00:13 GMT 2023","42389","","leftAndRightPanel","","leftAndRightPanel","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"broken","Fri Sep 15 13:56:26 GMT 2023","Fri Sep 15 13:57:18 GMT 2023","52917","","Activity Panel and Notes","","Activity Panel and Notes","TC65- Verify that user is able to edit their own notes","TC65- Verify that user is able to edit their own notes",""
"broken","Fri Sep 15 13:39:53 GMT 2023","Fri Sep 15 13:41:18 GMT 2023","85318","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"broken","Fri Sep 15 13:44:48 GMT 2023","Fri Sep 15 13:45:20 GMT 2023","32475","","Forward","","Forward","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
