"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 13 15:25:37 GMT 2022","Mon Jun 13 15:26:13 GMT 2022","35730","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Mon Jun 13 15:04:06 GMT 2022","Mon Jun 13 15:04:49 GMT 2022","43817","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"failed","Mon Jun 13 15:16:11 GMT 2022","Mon Jun 13 15:16:43 GMT 2022","32502","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"failed","Mon Jun 13 15:14:28 GMT 2022","Mon Jun 13 15:15:02 GMT 2022","33482","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Mon Jun 13 15:14:00 GMT 2022","Mon Jun 13 15:14:27 GMT 2022","27016","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Mon Jun 13 15:13:29 GMT 2022","Mon Jun 13 15:13:59 GMT 2022","29525","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Mon Jun 13 15:10:21 GMT 2022","Mon Jun 13 15:10:47 GMT 2022","25500","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Mon Jun 13 15:18:19 GMT 2022","Mon Jun 13 15:18:44 GMT 2022","25350","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Mon Jun 13 15:10:48 GMT 2022","Mon Jun 13 15:11:28 GMT 2022","40408","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Mon Jun 13 15:11:29 GMT 2022","Mon Jun 13 15:11:55 GMT 2022","25803","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Mon Jun 13 15:24:07 GMT 2022","Mon Jun 13 15:24:32 GMT 2022","25240","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"failed","Mon Jun 13 15:15:37 GMT 2022","Mon Jun 13 15:16:10 GMT 2022","32844","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Mon Jun 13 15:22:48 GMT 2022","Mon Jun 13 15:23:13 GMT 2022","24869","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Mon Jun 13 15:24:33 GMT 2022","Mon Jun 13 15:25:00 GMT 2022","26949","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Mon Jun 13 15:08:17 GMT 2022","Mon Jun 13 15:08:44 GMT 2022","26891","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Mon Jun 13 15:05:56 GMT 2022","Mon Jun 13 15:06:21 GMT 2022","24848","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Mon Jun 13 15:21:05 GMT 2022","Mon Jun 13 15:21:41 GMT 2022","35533","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Mon Jun 13 15:12:51 GMT 2022","Mon Jun 13 15:13:28 GMT 2022","37609","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Mon Jun 13 15:19:11 GMT 2022","Mon Jun 13 15:19:36 GMT 2022","24646","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"failed","Mon Jun 13 15:15:03 GMT 2022","Mon Jun 13 15:15:36 GMT 2022","33102","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Mon Jun 13 15:23:40 GMT 2022","Mon Jun 13 15:24:06 GMT 2022","26159","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Mon Jun 13 15:21:42 GMT 2022","Mon Jun 13 15:22:20 GMT 2022","38449","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Mon Jun 13 15:12:24 GMT 2022","Mon Jun 13 15:12:50 GMT 2022","25928","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Mon Jun 13 15:23:14 GMT 2022","Mon Jun 13 15:23:39 GMT 2022","24587","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
