"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 15 14:58:20 GMT 2023","Mon May 15 14:58:48 GMT 2023","27818","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Mon May 15 15:11:05 GMT 2023","Mon May 15 15:11:39 GMT 2023","34214","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Mon May 15 15:15:53 GMT 2023","Mon May 15 15:17:37 GMT 2023","104813","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Mon May 15 15:08:28 GMT 2023","Mon May 15 15:08:54 GMT 2023","25626","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Mon May 15 15:23:55 GMT 2023","Mon May 15 15:24:26 GMT 2023","30692","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Mon May 15 14:59:39 GMT 2023","Mon May 15 15:00:04 GMT 2023","25490","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Mon May 15 15:11:40 GMT 2023","Mon May 15 15:12:10 GMT 2023","30184","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Mon May 15 14:57:34 GMT 2023","Mon May 15 14:58:19 GMT 2023","45739","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Mon May 15 14:45:51 GMT 2023","Mon May 15 14:46:15 GMT 2023","23742","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Mon May 15 15:02:41 GMT 2023","Mon May 15 15:03:06 GMT 2023","25149","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Mon May 15 15:38:34 GMT 2023","Mon May 15 15:38:57 GMT 2023","22976","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Mon May 15 15:01:48 GMT 2023","Mon May 15 15:02:13 GMT 2023","24493","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Mon May 15 14:52:45 GMT 2023","Mon May 15 14:53:19 GMT 2023","33893","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Mon May 15 15:30:52 GMT 2023","Mon May 15 15:32:28 GMT 2023","95388","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Mon May 15 15:35:50 GMT 2023","Mon May 15 15:37:19 GMT 2023","89555","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Mon May 15 14:43:20 GMT 2023","Mon May 15 14:43:42 GMT 2023","22235","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Mon May 15 15:01:22 GMT 2023","Mon May 15 15:01:47 GMT 2023","25573","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Mon May 15 15:00:33 GMT 2023","Mon May 15 15:01:21 GMT 2023","47769","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Mon May 15 15:05:06 GMT 2023","Mon May 15 15:05:34 GMT 2023","28267","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Mon May 15 15:24:27 GMT 2023","Mon May 15 15:25:56 GMT 2023","89420","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Mon May 15 15:12:53 GMT 2023","Mon May 15 15:14:20 GMT 2023","87373","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Mon May 15 15:32:29 GMT 2023","Mon May 15 15:34:00 GMT 2023","90690","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Mon May 15 14:56:39 GMT 2023","Mon May 15 14:57:32 GMT 2023","53401","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Mon May 15 14:53:20 GMT 2023","Mon May 15 14:54:08 GMT 2023","47466","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Mon May 15 15:37:21 GMT 2023","Mon May 15 15:37:48 GMT 2023","27308","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Mon May 15 15:34:01 GMT 2023","Mon May 15 15:35:49 GMT 2023","108131","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Mon May 15 15:04:30 GMT 2023","Mon May 15 15:05:05 GMT 2023","34273","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Mon May 15 15:17:39 GMT 2023","Mon May 15 15:19:03 GMT 2023","84310","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Mon May 15 14:44:03 GMT 2023","Mon May 15 14:44:46 GMT 2023","43184","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
