"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 14:45:10 GMT 2023","Wed Aug 09 14:45:55 GMT 2023","45053","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Wed Aug 09 14:46:55 GMT 2023","Wed Aug 09 14:47:53 GMT 2023","57783","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Wed Aug 09 14:58:07 GMT 2023","Wed Aug 09 14:59:05 GMT 2023","58320","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"broken","Wed Aug 09 14:52:31 GMT 2023","Wed Aug 09 14:53:36 GMT 2023","64370","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Wed Aug 09 15:08:46 GMT 2023","Wed Aug 09 15:10:31 GMT 2023","105363","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Wed Aug 09 14:48:45 GMT 2023","Wed Aug 09 14:49:38 GMT 2023","52503","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Wed Aug 09 14:45:57 GMT 2023","Wed Aug 09 14:46:54 GMT 2023","57415","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Wed Aug 09 14:41:15 GMT 2023","Wed Aug 09 14:43:31 GMT 2023","135650","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Wed Aug 09 14:49:39 GMT 2023","Wed Aug 09 14:50:37 GMT 2023","58265","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Wed Aug 09 14:44:21 GMT 2023","Wed Aug 09 14:45:09 GMT 2023","47760","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Wed Aug 09 14:59:06 GMT 2023","Wed Aug 09 14:59:59 GMT 2023","52877","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Wed Aug 09 15:07:02 GMT 2023","Wed Aug 09 15:08:45 GMT 2023","102767","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Wed Aug 09 15:10:32 GMT 2023","Wed Aug 09 15:11:20 GMT 2023","47140","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"broken","Wed Aug 09 14:50:38 GMT 2023","Wed Aug 09 14:51:42 GMT 2023","64116","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Wed Aug 09 15:11:21 GMT 2023","Wed Aug 09 15:12:07 GMT 2023","45662","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"passed","Wed Aug 09 15:03:36 GMT 2023","Wed Aug 09 15:05:22 GMT 2023","106128","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Wed Aug 09 15:00:01 GMT 2023","Wed Aug 09 15:00:53 GMT 2023","51896","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Wed Aug 09 15:00:54 GMT 2023","Wed Aug 09 15:02:42 GMT 2023","107931","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Wed Aug 09 14:51:43 GMT 2023","Wed Aug 09 14:52:30 GMT 2023","46914","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Wed Aug 09 15:02:43 GMT 2023","Wed Aug 09 15:03:35 GMT 2023","51629","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Wed Aug 09 14:43:32 GMT 2023","Wed Aug 09 14:44:20 GMT 2023","48539","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Wed Aug 09 14:54:33 GMT 2023","Wed Aug 09 14:58:06 GMT 2023","212806","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Wed Aug 09 15:06:11 GMT 2023","Wed Aug 09 15:07:01 GMT 2023","49983","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Wed Aug 09 15:05:23 GMT 2023","Wed Aug 09 15:06:10 GMT 2023","46253","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"broken","Wed Aug 09 14:53:37 GMT 2023","Wed Aug 09 14:54:32 GMT 2023","54931","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Wed Aug 09 14:47:54 GMT 2023","Wed Aug 09 14:48:44 GMT 2023","50309","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
