"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 15:14:16 GMT 2023","Fri Aug 25 15:14:47 GMT 2023","30896","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Fri Aug 25 15:04:05 GMT 2023","Fri Aug 25 15:04:38 GMT 2023","33621","","Conversation Search","","Conversation Search","TC533 - To verify ""Subject of the conversation, Snippet of the latest email on the conversation and Count of number of emails in the conversation"" are being displayed in the searched results or not.","TC533 - To verify ""Subject of the conversation, Snippet of the latest email on the conversation and Count of number of emails in the conversation"" are being displayed in the searched results or not.",""
"passed","Fri Aug 25 15:24:43 GMT 2023","Fri Aug 25 15:25:20 GMT 2023","36703","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Fri Aug 25 15:29:42 GMT 2023","Fri Aug 25 15:30:11 GMT 2023","29694","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Fri Aug 25 15:11:20 GMT 2023","Fri Aug 25 15:11:47 GMT 2023","27259","","Conversation Search","","Conversation Search","TC558 - Search with other languages","TC558 - Search with other languages",""
"passed","Fri Aug 25 14:59:32 GMT 2023","Fri Aug 25 14:59:57 GMT 2023","25068","","Conversation Search","","Conversation Search","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.","TC523 - To verify user is taken to separate ""Search"" page when he clicks on the ""Search"" icon.",""
"passed","Fri Aug 25 15:25:22 GMT 2023","Fri Aug 25 15:25:58 GMT 2023","36008","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Fri Aug 25 14:52:34 GMT 2023","Fri Aug 25 14:53:21 GMT 2023","47136","","Quoted Text","","Quoted Text","TC577 - To verify the quoted text with no internet","TC577 - To verify the quoted text with no internet",""
"passed","Fri Aug 25 15:27:39 GMT 2023","Fri Aug 25 15:28:14 GMT 2023","35559","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Fri Aug 25 15:30:45 GMT 2023","Fri Aug 25 15:32:13 GMT 2023","87314","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Fri Aug 25 15:25:59 GMT 2023","Fri Aug 25 15:27:38 GMT 2023","98352","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Fri Aug 25 15:09:01 GMT 2023","Fri Aug 25 15:09:31 GMT 2023","29901","","Conversation Search","","Conversation Search","TC544 - To verify user is able to scroll the search result.","TC544 - To verify user is able to scroll the search result.",""
"broken","Fri Aug 25 14:48:26 GMT 2023","Fri Aug 25 14:49:09 GMT 2023","43398","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"broken","Fri Aug 25 14:58:04 GMT 2023","Fri Aug 25 14:59:07 GMT 2023","62359","","Quoted Text","","Quoted Text","TC585 - To verify the cursor when attachments added to the compose screen","TC585 - To verify the cursor when attachments added to the compose screen",""
"broken","Fri Aug 25 14:49:10 GMT 2023","Fri Aug 25 14:49:54 GMT 2023","43645","","Quoted Text","","Quoted Text","TC572 - To verify the quoted text with new recipient","TC572 - To verify the quoted text with new recipient",""
"passed","Fri Aug 25 14:47:15 GMT 2023","Fri Aug 25 14:47:52 GMT 2023","36329","","Quoted Text","","Quoted Text","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen",""
