"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 14:42:36 GMT 2023","Tue Aug 08 14:43:21 GMT 2023","45705","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Tue Aug 08 14:41:50 GMT 2023","Tue Aug 08 14:42:34 GMT 2023","44786","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Tue Aug 08 14:50:25 GMT 2023","Tue Aug 08 14:51:12 GMT 2023","46699","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Tue Aug 08 14:56:47 GMT 2023","Tue Aug 08 14:57:45 GMT 2023","58024","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Tue Aug 08 15:09:59 GMT 2023","Tue Aug 08 15:10:45 GMT 2023","46564","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"passed","Tue Aug 08 15:09:10 GMT 2023","Tue Aug 08 15:09:57 GMT 2023","47327","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Tue Aug 08 14:51:13 GMT 2023","Tue Aug 08 14:52:09 GMT 2023","56072","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Tue Aug 08 15:07:23 GMT 2023","Tue Aug 08 15:09:08 GMT 2023","105226","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"broken","Tue Aug 08 14:44:09 GMT 2023","Tue Aug 08 14:45:32 GMT 2023","82970","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Tue Aug 08 14:59:33 GMT 2023","Tue Aug 08 15:01:23 GMT 2023","109357","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Tue Aug 08 14:58:40 GMT 2023","Tue Aug 08 14:59:32 GMT 2023","52093","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Tue Aug 08 14:45:33 GMT 2023","Tue Aug 08 14:46:32 GMT 2023","59498","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Tue Aug 08 14:46:33 GMT 2023","Tue Aug 08 14:47:26 GMT 2023","52501","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Tue Aug 08 14:48:20 GMT 2023","Tue Aug 08 14:49:19 GMT 2023","59032","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"broken","Tue Aug 08 14:52:10 GMT 2023","Tue Aug 08 14:53:13 GMT 2023","62567","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Tue Aug 08 15:02:16 GMT 2023","Tue Aug 08 15:03:57 GMT 2023","100911","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"broken","Tue Aug 08 14:49:20 GMT 2023","Tue Aug 08 14:50:24 GMT 2023","63590","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Tue Aug 08 15:03:58 GMT 2023","Tue Aug 08 15:04:45 GMT 2023","46875","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
