"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 28 14:28:02 GMT 2023","Mon Aug 28 14:28:15 GMT 2023","13895","","leftAndRightPanel","","leftAndRightPanel","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Mon Aug 28 14:27:01 GMT 2023","Mon Aug 28 14:27:14 GMT 2023","12176","","leftAndRightPanel","","leftAndRightPanel","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Mon Aug 28 15:02:20 GMT 2023","Mon Aug 28 15:02:47 GMT 2023","26626","","Activity Panel and Notes","","Activity Panel and Notes","TC38- Verify that user is able to select between All Activities/Notes","TC38- Verify that user is able to select between All Activities/Notes",""
"broken","Mon Aug 28 14:56:06 GMT 2023","Mon Aug 28 14:56:36 GMT 2023","30771","","Quoted Text","","Quoted Text","TC571 - To verify the quoted in the Shared Draft screen","TC571 - To verify the quoted in the Shared Draft screen",""
"broken","Mon Aug 28 14:53:08 GMT 2023","Mon Aug 28 14:53:38 GMT 2023","29755","","Quoted Text","","Quoted Text","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"passed","Mon Aug 28 14:52:03 GMT 2023","Mon Aug 28 14:52:36 GMT 2023","32797","","Email Templates","","Email Templates","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".",""
"passed","Mon Aug 28 14:31:43 GMT 2023","Mon Aug 28 14:32:00 GMT 2023","17304","","Inbox Suite","","Inbox Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Mon Aug 28 14:51:34 GMT 2023","Mon Aug 28 14:52:03 GMT 2023","28976","","Email Templates","","Email Templates","TC333 - To verify if user is taken to a form to fill placeholders if email template contains place holder"".","TC333 - To verify if user is taken to a form to fill placeholders if email template contains place holder"".",""
"passed","Mon Aug 28 14:50:47 GMT 2023","Mon Aug 28 14:51:09 GMT 2023","22396","","Email Templates","","Email Templates","TC326 - To verify if user is able to search for a template"".","TC326 - To verify if user is able to search for a template"".",""
"passed","Mon Aug 28 14:29:57 GMT 2023","Mon Aug 28 14:30:37 GMT 2023","40052","","leftAndRightPanel","","leftAndRightPanel","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Mon Aug 28 14:43:11 GMT 2023","Mon Aug 28 14:44:18 GMT 2023","67244","","Inbox Suite","","Inbox Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Mon Aug 28 14:59:05 GMT 2023","Mon Aug 28 14:59:22 GMT 2023","16422","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Mon Aug 28 14:23:14 GMT 2023","Mon Aug 28 14:23:32 GMT 2023","18426","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"broken","Mon Aug 28 15:04:33 GMT 2023","Mon Aug 28 15:05:00 GMT 2023","27559","","Activity Panel and Notes","","Activity Panel and Notes","TC56- Verify that user is able to @mention people on note","TC56- Verify that user is able to @mention people on note",""
"passed","Mon Aug 28 14:54:26 GMT 2023","Mon Aug 28 14:54:50 GMT 2023","23324","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"passed","Mon Aug 28 14:58:43 GMT 2023","Mon Aug 28 14:59:05 GMT 2023","22115","","Forward","","Forward","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC591 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Mon Aug 28 14:27:29 GMT 2023","Mon Aug 28 14:27:45 GMT 2023","16056","","leftAndRightPanel","","leftAndRightPanel","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Mon Aug 28 14:28:49 GMT 2023","Mon Aug 28 14:29:06 GMT 2023","16912","","leftAndRightPanel","","leftAndRightPanel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Mon Aug 28 15:00:46 GMT 2023","Mon Aug 28 15:01:14 GMT 2023","27395","","Activity Panel and Notes","","Activity Panel and Notes","TC29- Verify if the user has switched from Notes to Activity or vice versa on Activities Panel, panel should maintain the same state when the user visits the same screen next time.","TC29- Verify if the user has switched from Notes to Activity or vice versa on Activities Panel, panel should maintain the same state when the user visits the same screen next time.",""
"broken","Mon Aug 28 15:01:53 GMT 2023","Mon Aug 28 15:02:20 GMT 2023","26643","","Activity Panel and Notes","","Activity Panel and Notes","TC37- Verify that user is able to add a new note or reply to existing note","TC37- Verify that user is able to add a new note or reply to existing note",""
"passed","Mon Aug 28 14:44:18 GMT 2023","Mon Aug 28 14:45:29 GMT 2023","71295","","Inbox Suite","","Inbox Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Mon Aug 28 14:51:09 GMT 2023","Mon Aug 28 14:51:34 GMT 2023","24931","","Email Templates","","Email Templates","TC331 - To verify if user is able to preview email templates."".","TC331 - To verify if user is able to preview email templates."".",""
"passed","Mon Aug 28 14:40:31 GMT 2023","Mon Aug 28 14:41:37 GMT 2023","66191","","Inbox Suite","","Inbox Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Mon Aug 28 14:41:37 GMT 2023","Mon Aug 28 14:42:05 GMT 2023","27885","","Inbox Suite","","Inbox Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Mon Aug 28 14:22:56 GMT 2023","Mon Aug 28 14:23:14 GMT 2023","17431","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Mon Aug 28 14:46:40 GMT 2023","Mon Aug 28 14:46:59 GMT 2023","18703","","Assignee","","Assignee","TC366 - To verify ""Search"" tab opens on click of ""Assign to"" text in Conversation page.","TC366 - To verify ""Search"" tab opens on click of ""Assign to"" text in Conversation page.",""
"passed","Mon Aug 28 14:50:08 GMT 2023","Mon Aug 28 14:50:27 GMT 2023","19296","","Email Templates","","Email Templates","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".",""
"passed","Mon Aug 28 14:31:00 GMT 2023","Mon Aug 28 14:31:43 GMT 2023","42534","","leftAndRightPanel","","leftAndRightPanel","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Mon Aug 28 14:33:07 GMT 2023","Mon Aug 28 14:33:23 GMT 2023","16029","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Mon Aug 28 15:05:00 GMT 2023","Mon Aug 28 15:05:28 GMT 2023","27485","","Activity Panel and Notes","","Activity Panel and Notes","TC61- Verify that placeholder text is shown after deleting notes","TC61- Verify that placeholder text is shown after deleting notes",""
"broken","Mon Aug 28 15:03:14 GMT 2023","Mon Aug 28 15:03:40 GMT 2023","26589","","Activity Panel and Notes","","Activity Panel and Notes","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ",""
"passed","Mon Aug 28 14:35:05 GMT 2023","Mon Aug 28 14:35:24 GMT 2023","19352","","Inbox Suite","","Inbox Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
