"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 27 04:33:06 GMT 2022","Wed Apr 27 04:35:23 GMT 2022","137539","","Inbox Suite","","Inbox Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Wed Apr 27 04:30:59 GMT 2022","Wed Apr 27 04:33:04 GMT 2022","125350","","Inbox Suite","","Inbox Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Apr 27 04:22:00 GMT 2022","Wed Apr 27 04:22:53 GMT 2022","53318","","Inbox Suite","","Inbox Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Apr 27 04:18:12 GMT 2022","Wed Apr 27 04:19:35 GMT 2022","83490","","Inbox Suite","","Inbox Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Wed Apr 27 04:24:35 GMT 2022","Wed Apr 27 04:25:24 GMT 2022","49427","","Inbox Suite","","Inbox Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Apr 27 04:28:13 GMT 2022","Wed Apr 27 04:29:12 GMT 2022","58482","","Inbox Suite","","Inbox Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Wed Apr 27 04:25:25 GMT 2022","Wed Apr 27 04:26:20 GMT 2022","54271","","Inbox Suite","","Inbox Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Wed Apr 27 04:21:13 GMT 2022","Wed Apr 27 04:21:59 GMT 2022","45941","","Inbox Suite","","Inbox Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Apr 27 04:23:47 GMT 2022","Wed Apr 27 04:24:33 GMT 2022","46400","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Wed Apr 27 04:17:23 GMT 2022","Wed Apr 27 04:18:11 GMT 2022","47226","","Inbox Suite","","Inbox Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Wed Apr 27 04:35:24 GMT 2022","Wed Apr 27 04:37:55 GMT 2022","150695","","Inbox Suite","","Inbox Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"failed","Wed Apr 27 04:29:13 GMT 2022","Wed Apr 27 04:30:06 GMT 2022","53328","","Inbox Suite","","Inbox Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Wed Apr 27 04:22:54 GMT 2022","Wed Apr 27 04:23:46 GMT 2022","51138","","Inbox Suite","","Inbox Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Wed Apr 27 04:19:37 GMT 2022","Wed Apr 27 04:20:23 GMT 2022","46391","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Wed Apr 27 04:20:24 GMT 2022","Wed Apr 27 04:21:11 GMT 2022","47153","","Inbox Suite","","Inbox Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Wed Apr 27 04:26:21 GMT 2022","Wed Apr 27 04:27:18 GMT 2022","57296","","Inbox Suite","","Inbox Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Wed Apr 27 04:27:19 GMT 2022","Wed Apr 27 04:28:12 GMT 2022","52615","","Inbox Suite","","Inbox Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Wed Apr 27 04:30:08 GMT 2022","Wed Apr 27 04:30:58 GMT 2022","50313","","Inbox Suite","","Inbox Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
