"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 25 12:15:37 GMT 2023","Fri Aug 25 12:16:06 GMT 2023","29018","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"broken","Fri Aug 25 12:38:36 GMT 2023","Fri Aug 25 12:38:50 GMT 2023","13465","","Quoted Text","","Quoted Text","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"passed","Fri Aug 25 12:14:27 GMT 2023","Fri Aug 25 12:14:50 GMT 2023","23977","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"broken","Fri Aug 25 12:35:01 GMT 2023","Fri Aug 25 12:35:55 GMT 2023","54369","","Assignee","","Assignee","TC379 - To verify proper error message is displayed when user tries to search with invalid input.","TC379 - To verify proper error message is displayed when user tries to search with invalid input.",""
"broken","Fri Aug 25 12:21:31 GMT 2023","Fri Aug 25 12:21:56 GMT 2023","24994","","Inbox Suite","","Inbox Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Fri Aug 25 12:18:20 GMT 2023","Fri Aug 25 12:18:33 GMT 2023","13417","","leftAndRightPanel","","leftAndRightPanel","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Aug 25 12:24:49 GMT 2023","Fri Aug 25 12:25:04 GMT 2023","14872","","Inbox Suite","","Inbox Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Fri Aug 25 12:24:20 GMT 2023","Fri Aug 25 12:24:33 GMT 2023","13044","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Fri Aug 25 12:14:50 GMT 2023","Fri Aug 25 12:15:37 GMT 2023","46183","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Fri Aug 25 12:13:32 GMT 2023","Fri Aug 25 12:13:51 GMT 2023","18521","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
