"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 05 06:56:47 GMT 2022","Fri Aug 05 06:57:13 GMT 2022","25825","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Aug 05 07:09:21 GMT 2022","Fri Aug 05 07:09:44 GMT 2022","23620","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Fri Aug 05 07:06:30 GMT 2022","Fri Aug 05 07:07:23 GMT 2022","52836","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Fri Aug 05 07:16:17 GMT 2022","Fri Aug 05 07:16:45 GMT 2022","28044","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Fri Aug 05 06:56:23 GMT 2022","Fri Aug 05 06:56:46 GMT 2022","23189","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Aug 05 07:07:24 GMT 2022","Fri Aug 05 07:08:08 GMT 2022","43523","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Aug 05 06:57:14 GMT 2022","Fri Aug 05 06:57:41 GMT 2022","26686","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Aug 05 07:37:12 GMT 2022","Fri Aug 05 07:38:35 GMT 2022","83127","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Fri Aug 05 07:04:10 GMT 2022","Fri Aug 05 07:05:01 GMT 2022","50966","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Aug 05 06:59:05 GMT 2022","Fri Aug 05 06:59:30 GMT 2022","24902","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Aug 05 07:02:20 GMT 2022","Fri Aug 05 07:02:49 GMT 2022","28831","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Aug 05 06:57:42 GMT 2022","Fri Aug 05 06:58:07 GMT 2022","25073","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Fri Aug 05 07:12:47 GMT 2022","Fri Aug 05 07:13:21 GMT 2022","34519","","Complete Test Suite","","Complete Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Fri Aug 05 07:27:35 GMT 2022","Fri Aug 05 07:29:12 GMT 2022","97778","","Complete Test Suite","","Complete Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Fri Aug 05 07:17:30 GMT 2022","Fri Aug 05 07:17:56 GMT 2022","25351","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
