"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 15:09:07 GMT 2023","Tue Jul 25 15:10:54 GMT 2023","106927","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Tue Jul 25 14:45:21 GMT 2023","Tue Jul 25 14:46:06 GMT 2023","45191","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Tue Jul 25 14:41:29 GMT 2023","Tue Jul 25 14:43:47 GMT 2023","138297","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Tue Jul 25 14:59:18 GMT 2023","Tue Jul 25 15:00:12 GMT 2023","54294","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Tue Jul 25 15:01:07 GMT 2023","Tue Jul 25 15:03:00 GMT 2023","112500","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Tue Jul 25 14:48:59 GMT 2023","Tue Jul 25 14:49:53 GMT 2023","53982","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Tue Jul 25 15:05:40 GMT 2023","Tue Jul 25 15:06:26 GMT 2023","46155","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Tue Jul 25 15:10:56 GMT 2023","Tue Jul 25 15:11:44 GMT 2023","48749","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Tue Jul 25 14:52:49 GMT 2023","Tue Jul 25 14:53:45 GMT 2023","55742","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Tue Jul 25 14:47:08 GMT 2023","Tue Jul 25 14:48:06 GMT 2023","58422","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Tue Jul 25 14:46:07 GMT 2023","Tue Jul 25 14:47:07 GMT 2023","59206","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"passed","Tue Jul 25 14:43:48 GMT 2023","Tue Jul 25 14:44:33 GMT 2023","45138","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"broken","Tue Jul 25 14:50:56 GMT 2023","Tue Jul 25 14:52:01 GMT 2023","65445","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Tue Jul 25 14:48:07 GMT 2023","Tue Jul 25 14:48:58 GMT 2023","51014","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Tue Jul 25 14:52:03 GMT 2023","Tue Jul 25 14:52:48 GMT 2023","45270","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Tue Jul 25 15:00:14 GMT 2023","Tue Jul 25 15:01:06 GMT 2023","51828","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Tue Jul 25 14:49:55 GMT 2023","Tue Jul 25 14:50:55 GMT 2023","59943","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Tue Jul 25 14:58:17 GMT 2023","Tue Jul 25 14:59:17 GMT 2023","59907","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Tue Jul 25 15:07:18 GMT 2023","Tue Jul 25 15:09:06 GMT 2023","108492","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
