"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 18 14:44:17 GMT 2023","Sat Mar 18 14:45:24 GMT 2023","66545","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"failed","Sat Mar 18 14:42:39 GMT 2023","Sat Mar 18 14:42:52 GMT 2023","12585","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sat Mar 18 14:42:53 GMT 2023","Sat Mar 18 14:43:16 GMT 2023","22535","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sat Mar 18 14:43:17 GMT 2023","Sat Mar 18 14:43:35 GMT 2023","18361","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"unknown","Sat Mar 18 14:45:37 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1679150737485","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"unknown","Sat Mar 18 14:45:28 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1679150728723","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sat Mar 18 14:43:36 GMT 2023","Sat Mar 18 14:44:16 GMT 2023","39711","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sat Mar 18 15:53:54 GMT 2023","Sat Mar 18 15:54:54 GMT 2023","59966","","Forward","","Forward","TC594 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC594 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Sat Mar 18 14:58:09 GMT 2023","Sat Mar 18 14:58:42 GMT 2023","32862","","Quoted Text","","Quoted Text","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"passed","Sat Mar 18 15:35:48 GMT 2023","Sat Mar 18 15:38:38 GMT 2023","169374","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Sat Mar 18 15:14:12 GMT 2023","Sat Mar 18 15:14:40 GMT 2023","28899","","Conversation Search","","Conversation Search","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.",""
"passed","Sat Mar 18 15:05:16 GMT 2023","Sat Mar 18 15:06:00 GMT 2023","44721","","Quoted Text","","Quoted Text","TC574 - To verify the quoted text should be collapsed by default","TC574 - To verify the quoted text should be collapsed by default",""
"broken","Sat Mar 18 15:15:52 GMT 2023","Sat Mar 18 15:16:33 GMT 2023","41386","","Conversation Search","","Conversation Search","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.",""
"passed","Sat Mar 18 15:26:52 GMT 2023","Sat Mar 18 15:27:23 GMT 2023","30198","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
