"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 05:51:40 GMT 2022","Wed Mar 02 05:53:02 GMT 2022","82103","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes",""
"broken","Wed Mar 02 05:49:09 GMT 2022","Wed Mar 02 05:49:44 GMT 2022","34320","","Login","","Login","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Wed Mar 02 05:50:26 GMT 2022","Wed Mar 02 05:50:55 GMT 2022","28585","","Login","","Login","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC260- Verify that user is shown error message on trying to login to app without signup","TC260- Verify that user is shown error message on trying to login to app without signup",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Mar 02 05:49:45 GMT 2022","Wed Mar 02 05:50:25 GMT 2022","40416","","Login","","Login","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Wed Mar 02 05:50:56 GMT 2022","Wed Mar 02 05:51:39 GMT 2022","42607","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
