"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 14:49:04 GMT 2023","Thu Jun 01 14:49:34 GMT 2023","29633","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Thu Jun 01 14:55:28 GMT 2023","Thu Jun 01 14:56:28 GMT 2023","59646","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Thu Jun 01 14:45:42 GMT 2023","Thu Jun 01 14:46:07 GMT 2023","25599","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Thu Jun 01 15:08:32 GMT 2023","Thu Jun 01 15:09:09 GMT 2023","37143","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Thu Jun 01 14:43:06 GMT 2023","Thu Jun 01 14:43:28 GMT 2023","21846","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu Jun 01 15:26:54 GMT 2023","Thu Jun 01 15:28:38 GMT 2023","104090","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu Jun 01 15:28:39 GMT 2023","Thu Jun 01 15:30:26 GMT 2023","107325","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Thu Jun 01 14:57:25 GMT 2023","Thu Jun 01 14:58:11 GMT 2023","46168","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Thu Jun 01 15:02:27 GMT 2023","Thu Jun 01 15:02:54 GMT 2023","26671","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu Jun 01 14:52:44 GMT 2023","Thu Jun 01 14:53:20 GMT 2023","36551","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Thu Jun 01 14:49:35 GMT 2023","Thu Jun 01 14:50:04 GMT 2023","28874","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Thu Jun 01 14:47:08 GMT 2023","Thu Jun 01 14:47:38 GMT 2023","30283","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Thu Jun 01 15:02:55 GMT 2023","Thu Jun 01 15:03:20 GMT 2023","25574","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Thu Jun 01 15:03:21 GMT 2023","Thu Jun 01 15:04:01 GMT 2023","39876","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Thu Jun 01 14:50:05 GMT 2023","Thu Jun 01 14:50:33 GMT 2023","27644","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Thu Jun 01 14:48:10 GMT 2023","Thu Jun 01 14:48:36 GMT 2023","26390","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Thu Jun 01 14:46:37 GMT 2023","Thu Jun 01 14:47:07 GMT 2023","29261","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Thu Jun 01 15:06:31 GMT 2023","Thu Jun 01 15:07:11 GMT 2023","39524","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"broken","Thu Jun 01 14:54:46 GMT 2023","Thu Jun 01 14:55:27 GMT 2023","41735","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Thu Jun 01 14:52:09 GMT 2023","Thu Jun 01 14:52:42 GMT 2023","33285","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Thu Jun 01 14:51:38 GMT 2023","Thu Jun 01 14:52:08 GMT 2023","30140","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Thu Jun 01 15:06:02 GMT 2023","Thu Jun 01 15:06:30 GMT 2023","27629","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Thu Jun 01 14:58:12 GMT 2023","Thu Jun 01 14:58:43 GMT 2023","30691","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Thu Jun 01 14:43:29 GMT 2023","Thu Jun 01 14:43:49 GMT 2023","19380","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu Jun 01 15:09:38 GMT 2023","Thu Jun 01 15:10:14 GMT 2023","36576","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Thu Jun 01 15:01:27 GMT 2023","Thu Jun 01 15:02:00 GMT 2023","33311","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Thu Jun 01 15:10:15 GMT 2023","Thu Jun 01 15:10:48 GMT 2023","32824","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Thu Jun 01 15:13:29 GMT 2023","Thu Jun 01 15:14:48 GMT 2023","79575","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Thu Jun 01 14:46:08 GMT 2023","Thu Jun 01 14:46:36 GMT 2023","27817","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Thu Jun 01 15:30:27 GMT 2023","Thu Jun 01 15:32:11 GMT 2023","104026","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Thu Jun 01 14:43:50 GMT 2023","Thu Jun 01 14:44:36 GMT 2023","46310","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Thu Jun 01 15:37:25 GMT 2023","Thu Jun 01 15:39:02 GMT 2023","97235","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"broken","Thu Jun 01 14:53:21 GMT 2023","Thu Jun 01 14:53:47 GMT 2023","25726","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu Jun 01 15:21:12 GMT 2023","Thu Jun 01 15:21:49 GMT 2023","36661","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Thu Jun 01 15:24:11 GMT 2023","Thu Jun 01 15:24:43 GMT 2023","31289","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu Jun 01 14:48:37 GMT 2023","Thu Jun 01 14:49:03 GMT 2023","26046","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Thu Jun 01 15:09:11 GMT 2023","Thu Jun 01 15:09:36 GMT 2023","25916","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu Jun 01 15:16:16 GMT 2023","Thu Jun 01 15:18:03 GMT 2023","106981","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu Jun 01 15:02:01 GMT 2023","Thu Jun 01 15:02:26 GMT 2023","24714","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu Jun 01 15:21:50 GMT 2023","Thu Jun 01 15:23:18 GMT 2023","88503","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
