"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 30 07:57:43 GMT 2023","Wed Aug 30 07:58:03 GMT 2023","19239","","Assignee","","Assignee","TC372 - To verify keyboard is popped up when user clicks on the ""Search starts with"" text field in ""Assign to"" drop down/popup","TC372 - To verify keyboard is popped up when user clicks on the ""Search starts with"" text field in ""Assign to"" drop down/popup",""
"passed","Wed Aug 30 08:05:03 GMT 2023","Wed Aug 30 08:05:37 GMT 2023","34277","","Forward","","Forward","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.",""
"passed","Wed Aug 30 07:58:23 GMT 2023","Wed Aug 30 07:58:43 GMT 2023","19993","","Assignee","","Assignee","TC379 - To verify proper error message is displayed when user tries to search with invalid input.","TC379 - To verify proper error message is displayed when user tries to search with invalid input.",""
"passed","Wed Aug 30 07:52:06 GMT 2023","Wed Aug 30 07:53:10 GMT 2023","63269","","Inbox Suite","","Inbox Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Wed Aug 30 08:03:18 GMT 2023","Wed Aug 30 08:03:40 GMT 2023","21929","","Quoted Text","","Quoted Text","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.",""
"passed","Wed Aug 30 07:32:34 GMT 2023","Wed Aug 30 07:32:52 GMT 2023","17264","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"passed","Wed Aug 30 08:00:34 GMT 2023","Wed Aug 30 08:01:07 GMT 2023","32980","","Email Templates","","Email Templates","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".",""
"passed","Wed Aug 30 07:39:49 GMT 2023","Wed Aug 30 07:40:28 GMT 2023","39102","","leftAndRightPanel","","leftAndRightPanel","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"broken","Wed Aug 30 08:11:25 GMT 2023","Wed Aug 30 08:11:51 GMT 2023","25883","","Activity Panel and Notes","","Activity Panel and Notes","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ",""
"broken","Wed Aug 30 07:35:12 GMT 2023","Wed Aug 30 07:36:16 GMT 2023","64433","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Wed Aug 30 07:49:35 GMT 2023","Wed Aug 30 07:50:37 GMT 2023","62351","","Inbox Suite","","Inbox Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Wed Aug 30 07:50:37 GMT 2023","Wed Aug 30 07:51:03 GMT 2023","25326","","Inbox Suite","","Inbox Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Aug 30 07:45:15 GMT 2023","Wed Aug 30 07:45:36 GMT 2023","20669","","Inbox Suite","","Inbox Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Aug 30 07:58:43 GMT 2023","Wed Aug 30 07:59:02 GMT 2023","19408","","Email Templates","","Email Templates","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".",""
"broken","Wed Aug 30 08:10:59 GMT 2023","Wed Aug 30 08:11:25 GMT 2023","26318","","Activity Panel and Notes","","Activity Panel and Notes","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.",""
"passed","Wed Aug 30 08:07:24 GMT 2023","Wed Aug 30 08:07:40 GMT 2023","15724","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Wed Aug 30 07:54:17 GMT 2023","Wed Aug 30 07:55:22 GMT 2023","64681","","Inbox Suite","","Inbox Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
