"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 07:23:26 GMT 2022","Mon Dec 12 07:23:53 GMT 2022","26989","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Mon Dec 12 07:30:17 GMT 2022","Mon Dec 12 07:30:46 GMT 2022","28716","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Mon Dec 12 08:04:11 GMT 2022","Mon Dec 12 08:04:39 GMT 2022","28479","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Mon Dec 12 07:32:49 GMT 2022","Mon Dec 12 07:33:17 GMT 2022","28850","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Mon Dec 12 07:38:28 GMT 2022","Mon Dec 12 07:39:56 GMT 2022","88813","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Mon Dec 12 07:16:44 GMT 2022","Mon Dec 12 07:17:35 GMT 2022","51102","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Mon Dec 12 07:15:00 GMT 2022","Mon Dec 12 07:15:30 GMT 2022","29955","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Mon Dec 12 07:36:37 GMT 2022","Mon Dec 12 07:37:12 GMT 2022","35866","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Mon Dec 12 07:23:54 GMT 2022","Mon Dec 12 07:24:28 GMT 2022","33764","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Mon Dec 12 07:48:47 GMT 2022","Mon Dec 12 07:49:41 GMT 2022","53396","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Mon Dec 12 07:53:55 GMT 2022","Mon Dec 12 07:55:25 GMT 2022","90733","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Mon Dec 12 07:09:09 GMT 2022","Mon Dec 12 07:09:41 GMT 2022","31805","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Mon Dec 12 07:18:35 GMT 2022","Mon Dec 12 07:19:16 GMT 2022","41133","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Mon Dec 12 07:20:17 GMT 2022","Mon Dec 12 07:21:13 GMT 2022","56086","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Mon Dec 12 07:22:35 GMT 2022","Mon Dec 12 07:23:24 GMT 2022","49533","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Mon Dec 12 08:04:41 GMT 2022","Mon Dec 12 08:05:28 GMT 2022","47815","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Mon Dec 12 07:11:22 GMT 2022","Mon Dec 12 07:11:49 GMT 2022","27389","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Mon Dec 12 07:34:42 GMT 2022","Mon Dec 12 07:35:16 GMT 2022","33547","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Mon Dec 12 07:09:42 GMT 2022","Mon Dec 12 07:10:12 GMT 2022","29748","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Mon Dec 12 07:06:32 GMT 2022","Mon Dec 12 07:06:51 GMT 2022","19039","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Mon Dec 12 07:07:37 GMT 2022","Mon Dec 12 07:08:40 GMT 2022","63463","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Mon Dec 12 07:12:52 GMT 2022","Mon Dec 12 07:13:21 GMT 2022","29544","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Mon Dec 12 07:06:52 GMT 2022","Mon Dec 12 07:07:35 GMT 2022","42875","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Mon Dec 12 07:36:03 GMT 2022","Mon Dec 12 07:36:35 GMT 2022","32363","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Mon Dec 12 07:26:00 GMT 2022","Mon Dec 12 07:26:28 GMT 2022","27815","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Mon Dec 12 07:49:42 GMT 2022","Mon Dec 12 07:50:14 GMT 2022","32367","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Mon Dec 12 07:15:31 GMT 2022","Mon Dec 12 07:16:05 GMT 2022","34122","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Mon Dec 12 07:22:05 GMT 2022","Mon Dec 12 07:22:34 GMT 2022","28715","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
