"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 15:36:32 GMT 2023","Fri May 05 15:38:04 GMT 2023","92196","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri May 05 15:04:39 GMT 2023","Fri May 05 15:05:10 GMT 2023","30124","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Fri May 05 14:54:14 GMT 2023","Fri May 05 14:54:40 GMT 2023","25862","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Fri May 05 15:01:47 GMT 2023","Fri May 05 15:02:34 GMT 2023","47208","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri May 05 15:03:05 GMT 2023","Fri May 05 15:04:06 GMT 2023","60298","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri May 05 15:14:14 GMT 2023","Fri May 05 15:14:48 GMT 2023","33391","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Fri May 05 15:16:02 GMT 2023","Fri May 05 15:16:34 GMT 2023","31464","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri May 05 15:08:45 GMT 2023","Fri May 05 15:09:30 GMT 2023","45049","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Fri May 05 15:22:46 GMT 2023","Fri May 05 15:24:12 GMT 2023","85221","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Fri May 05 14:55:12 GMT 2023","Fri May 05 14:55:40 GMT 2023","28145","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
