"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 10:05:57 GMT 2022","Fri Jun 03 10:06:37 GMT 2022","40102","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Fri Jun 03 10:37:28 GMT 2022","Fri Jun 03 10:38:02 GMT 2022","34217","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Fri Jun 03 09:56:20 GMT 2022","Fri Jun 03 09:57:06 GMT 2022","46268","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Fri Jun 03 10:07:52 GMT 2022","Fri Jun 03 10:08:28 GMT 2022","35659","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Fri Jun 03 10:02:33 GMT 2022","Fri Jun 03 10:03:20 GMT 2022","47003","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Jun 03 10:21:38 GMT 2022","Fri Jun 03 10:22:37 GMT 2022","59212","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Jun 03 09:59:34 GMT 2022","Fri Jun 03 10:00:39 GMT 2022","65406","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Fri Jun 03 10:15:23 GMT 2022","Fri Jun 03 10:17:01 GMT 2022","97537","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Fri Jun 03 09:52:32 GMT 2022","Fri Jun 03 09:53:24 GMT 2022","51711","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Jun 03 10:11:52 GMT 2022","Fri Jun 03 10:12:35 GMT 2022","42745","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Fri Jun 03 10:13:17 GMT 2022","Fri Jun 03 10:14:01 GMT 2022","43943","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Fri Jun 03 09:55:32 GMT 2022","Fri Jun 03 09:56:19 GMT 2022","46883","","Complete Test Suite","","Complete Test Suite","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"broken","Fri Jun 03 10:24:21 GMT 2022","Fri Jun 03 10:26:16 GMT 2022","114512","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Fri Jun 03 10:01:36 GMT 2022","Fri Jun 03 10:02:32 GMT 2022","56056","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Jun 03 10:06:39 GMT 2022","Fri Jun 03 10:07:15 GMT 2022","35665","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Fri Jun 03 10:36:41 GMT 2022","Fri Jun 03 10:37:27 GMT 2022","45057","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
