"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 26 15:26:50 GMT 2022","Sun Jun 26 15:27:13 GMT 2022","23386","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"failed","Sun Jun 26 15:19:51 GMT 2022","Sun Jun 26 15:20:20 GMT 2022","29092","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Sun Jun 26 15:22:09 GMT 2022","Sun Jun 26 15:22:32 GMT 2022","23037","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Sun Jun 26 14:57:52 GMT 2022","Sun Jun 26 14:58:17 GMT 2022","24835","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"failed","Sun Jun 26 15:19:21 GMT 2022","Sun Jun 26 15:19:50 GMT 2022","29289","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Sun Jun 26 15:05:00 GMT 2022","Sun Jun 26 15:05:50 GMT 2022","50007","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Sun Jun 26 15:14:35 GMT 2022","Sun Jun 26 15:15:01 GMT 2022","25953","","Complete Test Suite","","Complete Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Sun Jun 26 15:25:37 GMT 2022","Sun Jun 26 15:26:01 GMT 2022","23782","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Sun Jun 26 15:26:26 GMT 2022","Sun Jun 26 15:26:49 GMT 2022","22654","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sun Jun 26 15:27:38 GMT 2022","Sun Jun 26 15:28:12 GMT 2022","33670","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sun Jun 26 15:02:20 GMT 2022","Sun Jun 26 15:02:47 GMT 2022","26923","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sun Jun 26 15:13:06 GMT 2022","Sun Jun 26 15:13:30 GMT 2022","24030","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sun Jun 26 15:03:45 GMT 2022","Sun Jun 26 15:04:17 GMT 2022","32041","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Sun Jun 26 15:02:48 GMT 2022","Sun Jun 26 15:03:15 GMT 2022","27039","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Sun Jun 26 14:55:03 GMT 2022","Sun Jun 26 14:55:25 GMT 2022","22025","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sun Jun 26 15:16:55 GMT 2022","Sun Jun 26 15:17:21 GMT 2022","26144","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Sun Jun 26 15:23:53 GMT 2022","Sun Jun 26 15:24:27 GMT 2022","33774","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sun Jun 26 15:14:05 GMT 2022","Sun Jun 26 15:14:33 GMT 2022","28079","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sun Jun 26 14:55:26 GMT 2022","Sun Jun 26 14:55:44 GMT 2022","18234","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Jun 26 15:15:41 GMT 2022","Sun Jun 26 15:16:08 GMT 2022","27173","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Sun Jun 26 15:00:05 GMT 2022","Sun Jun 26 15:00:29 GMT 2022","24343","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Sun Jun 26 15:16:09 GMT 2022","Sun Jun 26 15:16:54 GMT 2022","44490","","Complete Test Suite","","Complete Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"broken","Sun Jun 26 15:24:28 GMT 2022","Sun Jun 26 15:25:12 GMT 2022","44311","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Sun Jun 26 15:27:14 GMT 2022","Sun Jun 26 15:27:37 GMT 2022","23522","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sun Jun 26 14:58:18 GMT 2022","Sun Jun 26 14:58:44 GMT 2022","25745","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
