"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 06 15:12:15 GMT 2022","Mon Jun 06 15:12:56 GMT 2022","40911","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Mon Jun 06 15:07:59 GMT 2022","Mon Jun 06 15:08:57 GMT 2022","57646","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Mon Jun 06 15:16:25 GMT 2022","Mon Jun 06 15:17:08 GMT 2022","42905","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Mon Jun 06 15:04:58 GMT 2022","Mon Jun 06 15:05:55 GMT 2022","57720","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"passed","Mon Jun 06 15:32:12 GMT 2022","Mon Jun 06 15:34:09 GMT 2022","116190","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Mon Jun 06 15:40:04 GMT 2022","Mon Jun 06 15:40:48 GMT 2022","43549","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"failed","Mon Jun 06 14:54:21 GMT 2022","Mon Jun 06 14:54:44 GMT 2022","22439","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Mon Jun 06 15:14:15 GMT 2022","Mon Jun 06 15:14:55 GMT 2022","40119","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Mon Jun 06 15:41:35 GMT 2022","Mon Jun 06 15:42:08 GMT 2022","33594","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Mon Jun 06 15:08:58 GMT 2022","Mon Jun 06 15:09:33 GMT 2022","34962","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Mon Jun 06 15:19:19 GMT 2022","Mon Jun 06 15:21:03 GMT 2022","104801","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Mon Jun 06 15:40:49 GMT 2022","Mon Jun 06 15:41:33 GMT 2022","44360","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"broken","Mon Jun 06 15:05:56 GMT 2022","Mon Jun 06 15:06:45 GMT 2022","49114","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Mon Jun 06 15:30:17 GMT 2022","Mon Jun 06 15:32:11 GMT 2022","114087","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Mon Jun 06 15:09:34 GMT 2022","Mon Jun 06 15:10:24 GMT 2022","49965","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Mon Jun 06 14:55:19 GMT 2022","Mon Jun 06 14:55:47 GMT 2022","28322","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Mon Jun 06 15:04:02 GMT 2022","Mon Jun 06 15:04:56 GMT 2022","54510","","Complete Test Suite","","Complete Test Suite","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Mon Jun 06 15:17:10 GMT 2022","Mon Jun 06 15:17:56 GMT 2022","46657","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Mon Jun 06 15:12:57 GMT 2022","Mon Jun 06 15:13:35 GMT 2022","38544","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Mon Jun 06 15:17:57 GMT 2022","Mon Jun 06 15:18:38 GMT 2022","40642","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Mon Jun 06 15:13:36 GMT 2022","Mon Jun 06 15:14:14 GMT 2022","37354","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Mon Jun 06 15:34:10 GMT 2022","Mon Jun 06 15:36:04 GMT 2022","113926","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Mon Jun 06 15:15:40 GMT 2022","Mon Jun 06 15:16:24 GMT 2022","44706","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Mon Jun 06 15:14:56 GMT 2022","Mon Jun 06 15:15:39 GMT 2022","42535","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Mon Jun 06 15:25:02 GMT 2022","Mon Jun 06 15:25:43 GMT 2022","40403","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Mon Jun 06 15:27:30 GMT 2022","Mon Jun 06 15:28:26 GMT 2022","56152","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Mon Jun 06 15:38:12 GMT 2022","Mon Jun 06 15:40:03 GMT 2022","110900","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Mon Jun 06 15:18:39 GMT 2022","Mon Jun 06 15:19:18 GMT 2022","38453","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Mon Jun 06 15:01:53 GMT 2022","Mon Jun 06 15:02:50 GMT 2022","57671","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Mon Jun 06 15:26:43 GMT 2022","Mon Jun 06 15:27:29 GMT 2022","45244","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Mon Jun 06 15:02:52 GMT 2022","Mon Jun 06 15:04:01 GMT 2022","69331","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Mon Jun 06 15:28:27 GMT 2022","Mon Jun 06 15:30:16 GMT 2022","108978","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Mon Jun 06 14:59:34 GMT 2022","Mon Jun 06 15:00:19 GMT 2022","45406","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Mon Jun 06 14:56:43 GMT 2022","Mon Jun 06 14:57:56 GMT 2022","72996","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Mon Jun 06 15:11:39 GMT 2022","Mon Jun 06 15:12:14 GMT 2022","35009","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
