"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 04:37:54 GMT 2023","Wed Nov 15 04:38:16 GMT 2023","22425","","leftAndRightPanel","","leftAndRightPanel","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Nov 15 04:30:42 GMT 2023","Wed Nov 15 04:31:07 GMT 2023","24549","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
"broken","Wed Nov 15 04:32:34 GMT 2023","Wed Nov 15 04:33:00 GMT 2023","25431","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Wed Nov 15 04:28:22 GMT 2023","Wed Nov 15 04:29:23 GMT 2023","61767","","Permalinks","","Permalinks","TC00001 - Compose and Send Email","TC00001 - Compose and Send Email",""
"passed","Wed Nov 15 04:44:09 GMT 2023","Wed Nov 15 04:44:37 GMT 2023","27528","","Inbox Suite","","Inbox Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Wed Nov 15 04:45:03 GMT 2023","Wed Nov 15 04:45:29 GMT 2023","26802","","Inbox Suite","","Inbox Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Wed Nov 15 04:41:49 GMT 2023","Wed Nov 15 04:42:44 GMT 2023","54616","","leftAndRightPanel","","leftAndRightPanel","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"unknown","Wed Nov 15 04:46:45 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1700023605707","","Inbox Suite","","Inbox Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Nov 15 04:37:07 GMT 2023","Wed Nov 15 04:37:31 GMT 2023","23855","","leftAndRightPanel","","leftAndRightPanel","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Wed Nov 15 04:36:43 GMT 2023","Wed Nov 15 04:37:07 GMT 2023","24016","","leftAndRightPanel","","leftAndRightPanel","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
