"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 15:24:12 GMT 2022","Tue Jun 21 15:24:46 GMT 2022","34117","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Tue Jun 21 15:18:45 GMT 2022","Tue Jun 21 15:19:42 GMT 2022","57417","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Tue Jun 21 15:39:35 GMT 2022","Tue Jun 21 15:40:17 GMT 2022","42795","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Tue Jun 21 15:28:55 GMT 2022","Tue Jun 21 15:29:48 GMT 2022","52703","","Complete Test Suite","","Complete Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Tue Jun 21 15:23:36 GMT 2022","Tue Jun 21 15:24:10 GMT 2022","33829","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Tue Jun 21 15:02:16 GMT 2022","Tue Jun 21 15:02:46 GMT 2022","30338","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Tue Jun 21 15:06:40 GMT 2022","Tue Jun 21 15:07:20 GMT 2022","39509","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Tue Jun 21 15:38:32 GMT 2022","Tue Jun 21 15:39:33 GMT 2022","60903","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Tue Jun 21 15:45:56 GMT 2022","Tue Jun 21 15:46:24 GMT 2022","27734","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"failed","Tue Jun 21 15:31:09 GMT 2022","Tue Jun 21 15:31:52 GMT 2022","42878","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Tue Jun 21 15:42:53 GMT 2022","Tue Jun 21 15:43:25 GMT 2022","31139","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Tue Jun 21 15:36:45 GMT 2022","Tue Jun 21 15:37:17 GMT 2022","32301","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Tue Jun 21 15:17:14 GMT 2022","Tue Jun 21 15:18:10 GMT 2022","56554","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Tue Jun 21 15:00:14 GMT 2022","Tue Jun 21 15:00:34 GMT 2022","19594","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Tue Jun 21 15:09:59 GMT 2022","Tue Jun 21 15:10:35 GMT 2022","36237","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Tue Jun 21 15:26:12 GMT 2022","Tue Jun 21 15:26:54 GMT 2022","41681","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Tue Jun 21 15:00:35 GMT 2022","Tue Jun 21 15:01:07 GMT 2022","31424","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Tue Jun 21 15:21:39 GMT 2022","Tue Jun 21 15:22:59 GMT 2022","80570","","Complete Test Suite","","Complete Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Tue Jun 21 15:14:59 GMT 2022","Tue Jun 21 15:16:07 GMT 2022","67797","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"broken","Tue Jun 21 15:36:12 GMT 2022","Tue Jun 21 15:36:43 GMT 2022","31074","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Tue Jun 21 15:16:08 GMT 2022","Tue Jun 21 15:17:12 GMT 2022","64313","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Tue Jun 21 15:35:34 GMT 2022","Tue Jun 21 15:36:11 GMT 2022","37103","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Tue Jun 21 15:02:47 GMT 2022","Tue Jun 21 15:03:23 GMT 2022","35495","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Tue Jun 21 15:43:26 GMT 2022","Tue Jun 21 15:43:57 GMT 2022","30721","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Tue Jun 21 15:42:21 GMT 2022","Tue Jun 21 15:42:52 GMT 2022","31592","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Tue Jun 21 15:25:21 GMT 2022","Tue Jun 21 15:26:11 GMT 2022","49434","","Complete Test Suite","","Complete Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Tue Jun 21 15:13:03 GMT 2022","Tue Jun 21 15:14:08 GMT 2022","65155","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Tue Jun 21 15:08:30 GMT 2022","Tue Jun 21 15:09:07 GMT 2022","37754","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Tue Jun 21 15:05:29 GMT 2022","Tue Jun 21 15:06:04 GMT 2022","34756","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
